Timestamp_cmd,imu_cmd
2023-01-13 09:47:25:368,0
2023-01-13 09:47:25:377,0
2023-01-13 09:47:25:387,0
2023-01-13 09:47:25:397,0
2023-01-13 09:47:25:407,0
2023-01-13 09:47:25:417,0
2023-01-13 09:47:25:427,0
2023-01-13 09:47:25:437,0
2023-01-13 09:47:25:447,0
2023-01-13 09:47:25:457,0
2023-01-13 09:47:25:467,0
2023-01-13 09:47:25:477,0
2023-01-13 09:47:25:487,0
2023-01-13 09:47:25:497,0
2023-01-13 09:47:25:507,0
2023-01-13 09:47:25:517,0
2023-01-13 09:47:25:527,0
2023-01-13 09:47:25:537,0
2023-01-13 09:47:25:547,0
2023-01-13 09:47:25:557,0
2023-01-13 09:47:25:567,0
2023-01-13 09:47:25:577,0
2023-01-13 09:47:25:587,0
2023-01-13 09:47:25:597,0
2023-01-13 09:47:25:607,0
2023-01-13 09:47:25:617,0
2023-01-13 09:47:25:627,0
2023-01-13 09:47:25:639,0
2023-01-13 09:47:25:647,0
2023-01-13 09:47:25:657,0
2023-01-13 09:47:25:667,0
2023-01-13 09:47:25:677,0
2023-01-13 09:47:25:687,0
2023-01-13 09:47:25:697,0
2023-01-13 09:47:25:707,0
2023-01-13 09:47:25:717,0
2023-01-13 09:47:25:727,0
2023-01-13 09:47:25:737,0
2023-01-13 09:47:25:747,0
2023-01-13 09:47:25:757,0
2023-01-13 09:47:25:767,0
2023-01-13 09:47:25:777,0
2023-01-13 09:47:25:787,0
2023-01-13 09:47:25:797,0
2023-01-13 09:47:25:807,0
2023-01-13 09:47:25:817,0
2023-01-13 09:47:25:827,0
2023-01-13 09:47:25:837,0
2023-01-13 09:47:25:847,0
2023-01-13 09:47:25:857,0
2023-01-13 09:47:25:867,0
2023-01-13 09:47:25:877,0
2023-01-13 09:47:25:887,0
2023-01-13 09:47:25:897,0
2023-01-13 09:47:25:907,0
2023-01-13 09:47:25:917,0
2023-01-13 09:47:25:927,0
2023-01-13 09:47:25:937,0
2023-01-13 09:47:25:947,0
2023-01-13 09:47:25:957,0
2023-01-13 09:47:25:967,0
2023-01-13 09:47:25:977,0
2023-01-13 09:47:25:987,0
2023-01-13 09:47:25:997,0
