Timestamp_cmd,imu_cmd,roll_delta,pitch_delta,yaw_delta
2023-03-11 17:23:21:698,0,-0.774957,-0.425071,86.5823
2023-03-11 17:23:21:706,0,-0.809909,-0.427302,86.5787
2023-03-11 17:23:21:716,0,-0.847021,-0.42852,86.5772
2023-03-11 17:23:21:726,0,-0.88911,-0.42661,86.5731
2023-03-11 17:23:21:736,0,-0.930193,-0.425715,86.5744
2023-03-11 17:23:21:746,0,-0.971821,-0.420306,86.5747
2023-03-11 17:23:21:756,0,-1.01444,-0.415104,86.5768
2023-03-11 17:23:21:766,0,-1.0645,-0.407024,86.578
2023-03-11 17:23:21:776,0,-1.12114,-0.398803,86.5802
2023-03-11 17:23:21:786,0,-1.17804,-0.393425,86.5796
2023-03-11 17:23:21:796,0,-1.23112,-0.394442,86.5775
2023-03-11 17:23:21:806,0,-1.27571,-0.394728,86.5713
2023-03-11 17:23:21:816,0,-1.30462,-0.402876,86.557
2023-03-11 17:23:21:826,0,-1.31821,-0.40912,86.5364
2023-03-11 17:23:21:836,0,-1.32199,-0.408231,86.5059
2023-03-11 17:23:21:846,0,-1.3102,-0.393908,86.4683
2023-03-11 17:23:21:856,0,-1.293,-0.376871,86.4284
2023-03-11 17:23:21:866,0,-1.28043,-0.35681,86.3879
2023-03-11 17:23:21:876,0,-1.27489,-0.337555,86.3465
2023-03-11 17:23:21:886,0,-1.26874,-0.319679,86.3062
2023-03-11 17:23:21:896,0,-1.26476,-0.300646,86.2673
2023-03-11 17:23:21:906,0,-1.26032,-0.273537,86.2293
2023-03-11 17:23:21:916,0,-1.25243,-0.244207,86.1968
2023-03-11 17:23:21:926,0,-1.24254,-0.210816,86.1635
2023-03-11 17:23:21:936,0,-1.2294,-0.176128,86.1336
2023-03-11 17:23:21:946,0,-1.22513,-0.14331,86.1051
2023-03-11 17:23:21:956,0,-1.22754,-0.11788,86.0801
2023-03-11 17:23:21:966,0,-1.24147,-0.0977401,86.0578
2023-03-11 17:23:21:976,0,-1.26619,-0.0855361,86.0401
2023-03-11 17:23:21:986,0,-1.30237,-0.0866266,86.0267
2023-03-11 17:23:21:996,0,-1.3478,-0.0936239,86.0248
2023-03-11 17:23:22:6,0,-1.39643,-0.11039,86.024
2023-03-11 17:23:22:16,0,-1.44883,-0.131223,86.0261
2023-03-11 17:23:22:26,0,-1.50116,-0.154243,86.0312
2023-03-11 17:23:22:36,0,-1.54445,-0.173961,86.0409
2023-03-11 17:23:22:46,0,-1.58456,-0.19322,86.0499
2023-03-11 17:23:22:56,0,-1.62156,-0.216043,86.0589
2023-03-11 17:23:22:66,0,-1.65511,-0.236809,86.0717
2023-03-11 17:23:22:76,0,-1.69413,-0.259563,86.088
2023-03-11 17:23:22:86,0,-1.73651,-0.279466,86.1039
2023-03-11 17:23:22:96,0,-1.77349,-0.299343,86.1227
2023-03-11 17:23:22:106,0,-1.80531,-0.315445,86.1358
2023-03-11 17:23:22:116,0,-1.83045,-0.333383,86.1524
2023-03-11 17:23:22:126,0,-1.85078,-0.352546,86.1664
2023-03-11 17:23:22:136,0,-1.86809,-0.367401,86.1794
2023-03-11 17:23:22:146,0,-1.88535,-0.382557,86.1868
2023-03-11 17:23:22:156,0,-1.89417,-0.394595,86.1883
2023-03-11 17:23:22:166,0,-1.89646,-0.403117,86.1819
2023-03-11 17:23:22:176,0,-1.89559,-0.404948,86.1676
2023-03-11 17:23:22:186,0,-1.8903,-0.411268,86.1469
2023-03-11 17:23:22:196,0,-1.88759,-0.412131,86.1238
2023-03-11 17:23:22:206,0,-1.8893,-0.416722,86.1008
2023-03-11 17:23:22:216,0,-1.89355,-0.427038,86.0796
2023-03-11 17:23:22:226,0,-1.89731,-0.436081,86.056
2023-03-11 17:23:22:236,0,-1.89386,-0.447165,86.0371
2023-03-11 17:23:22:246,0,-1.89298,-0.462154,86.0192
2023-03-11 17:23:22:256,0,-1.89295,-0.481131,86.0098
2023-03-11 17:23:22:266,0,-1.90121,-0.494702,86.0045
2023-03-11 17:23:22:276,0,-1.91299,-0.506978,86.0068
2023-03-11 17:23:22:286,0,-1.92574,-0.514448,86.0076
2023-03-11 17:23:22:296,0,-1.95011,-0.523497,86.0159
2023-03-11 17:23:22:306,0,-1.97918,-0.529659,86.0253
2023-03-11 17:23:22:316,0,-2.00603,-0.533615,86.0388
2023-03-11 17:23:22:326,0,-2.0243,-0.539537,86.0555
2023-03-11 17:23:22:336,0,-2.02869,-0.551419,86.0773
2023-03-11 17:23:22:346,0,-2.0325,-0.561623,86.1038
2023-03-11 17:23:22:356,0,-2.03877,-0.5733,86.1302
2023-03-11 17:23:22:366,0,-2.05455,-0.580849,86.1517
2023-03-11 17:23:22:376,0,-2.07642,-0.587605,86.1714
2023-03-11 17:23:22:386,0,-2.10367,-0.594841,86.1921
2023-03-11 17:23:22:396,0,-2.13349,-0.598901,86.209
2023-03-11 17:23:22:406,0,-2.16582,-0.606369,86.2242
2023-03-11 17:23:22:416,0,-2.2037,-0.616694,86.2417
2023-03-11 17:23:22:426,0,-2.23553,-0.63281,86.2611
2023-03-11 17:23:22:436,0,-2.26055,-0.655326,86.2842
2023-03-11 17:23:22:446,0,-2.2837,-0.672257,86.3091
2023-03-11 17:23:22:456,0,-2.30446,-0.692447,86.335
2023-03-11 17:23:22:466,0,-2.32317,-0.715453,86.3649
2023-03-11 17:23:22:476,0,-2.33951,-0.740189,86.3894
2023-03-11 17:23:22:486,0,-2.35591,-0.758769,86.4169
2023-03-11 17:23:22:496,0,-2.37188,-0.776763,86.4416
2023-03-11 17:23:22:506,0,-2.38937,-0.791568,86.4589
2023-03-11 17:23:22:516,0,-2.40798,-0.796834,86.4705
2023-03-11 17:23:22:526,0,-2.42047,-0.803429,86.4767
2023-03-11 17:23:22:536,0,-2.42935,-0.807687,86.4791
2023-03-11 17:23:22:546,0,-2.43176,-0.812518,86.4738
2023-03-11 17:23:22:556,0,-2.42778,-0.816915,86.4638
2023-03-11 17:23:22:566,0,-2.41658,-0.818615,86.4499
2023-03-11 17:23:22:576,0,-2.40003,-0.818932,86.4342
2023-03-11 17:23:22:586,0,-2.38132,-0.8213,86.4198
2023-03-11 17:23:22:596,0,-2.36492,-0.820047,86.4034
2023-03-11 17:23:22:606,0,-2.352,-0.822803,86.388
2023-03-11 17:23:22:616,0,-2.3355,-0.822785,86.3756
2023-03-11 17:23:22:626,0,-2.31967,-0.817986,86.3646
2023-03-11 17:23:22:636,0,-2.30095,-0.805927,86.3541
2023-03-11 17:23:22:646,0,-2.28271,-0.789081,86.3439
2023-03-11 17:23:22:656,0,-2.26646,-0.772293,86.3358
2023-03-11 17:23:22:666,0,-2.25362,-0.76002,86.3288
2023-03-11 17:23:22:676,0,-2.24175,-0.755536,86.3267
2023-03-11 17:23:22:686,0,-2.23579,-0.757477,86.3299
2023-03-11 17:23:22:696,0,-2.24204,-0.768604,86.3426
2023-03-11 17:23:22:706,0,-2.2577,-0.787859,86.3598
2023-03-11 17:23:22:716,0,-2.27899,-0.817372,86.3829
2023-03-11 17:23:22:726,0,-2.29679,-0.847817,86.4077
2023-03-11 17:23:22:736,0,-2.31375,-0.881036,86.4313
2023-03-11 17:23:22:746,0,-2.32096,-0.915534,86.4495
2023-03-11 17:23:22:756,0,-2.32601,-0.944469,86.4596
2023-03-11 17:23:22:766,0,-2.32096,-0.972001,86.4671
2023-03-11 17:23:22:776,0,-2.31968,-0.991909,86.4626
2023-03-11 17:23:22:786,0,-2.31978,-1.00871,86.4553
2023-03-11 17:23:22:796,0,-2.32083,-1.01995,86.4402
2023-03-11 17:23:22:806,0,-2.32353,-1.0257,86.4252
2023-03-11 17:23:22:816,0,-2.3304,-1.0287,86.4098
2023-03-11 17:23:22:826,0,-2.34898,-1.02717,86.3926
2023-03-11 17:23:22:836,0,-2.36862,-1.02371,86.3829
2023-03-11 17:23:22:846,0,-2.39297,-1.02221,86.3804
2023-03-11 17:23:22:856,0,-2.41987,-1.02615,86.381
2023-03-11 17:23:22:866,0,-2.44418,-1.03294,86.3883
2023-03-11 17:23:22:876,0,-2.4638,-1.04366,86.405
2023-03-11 17:23:22:886,0,-2.47171,-1.05752,86.4171
2023-03-11 17:23:22:896,0,-2.46334,-1.07662,86.4282
2023-03-11 17:23:22:906,0,-2.44521,-1.09766,86.4414
2023-03-11 17:23:22:916,0,-2.42748,-1.12367,86.4573
2023-03-11 17:23:22:926,0,-2.41377,-1.15434,86.4739
2023-03-11 17:23:22:936,0,-2.40265,-1.18155,86.4899
2023-03-11 17:23:22:946,0,-2.39224,-1.20787,86.5056
2023-03-11 17:23:22:956,0,-2.37789,-1.23147,86.5225
2023-03-11 17:23:22:966,0,-2.36695,-1.2527,86.5395
2023-03-11 17:23:22:976,0,-2.35008,-1.26643,86.5582
2023-03-11 17:23:22:986,0,-2.3397,-1.27747,86.5756
2023-03-11 17:23:22:996,0,-2.3283,-1.28684,86.5869
