Timestamp_cmd,imu_cmd,roll_delta,pitch_delta,yaw_delta
2023-03-11 20:24:14:13,0,-8.79787,-2.12593,89.9415
2023-03-11 20:24:14:15,0,-8.79384,-2.1226,89.9288
2023-03-11 20:24:14:25,0,-8.79325,-2.12445,89.9217
2023-03-11 20:24:14:35,0,-8.79896,-2.12447,89.915
2023-03-11 20:24:14:45,0,-8.80448,-2.12676,89.9115
2023-03-11 20:24:14:55,0,-8.81227,-2.13524,89.9103
2023-03-11 20:24:14:65,0,-8.8164,-2.14423,89.9142
2023-03-11 20:24:14:75,0,-8.81648,-2.14843,89.9211
2023-03-11 20:24:14:85,0,-8.80912,-2.15068,89.9285
2023-03-11 20:24:14:95,0,-8.79615,-2.14978,89.9293
2023-03-11 20:24:14:105,0,-8.77796,-2.16323,89.928
2023-03-11 20:24:14:115,0,-8.75196,-2.1811,89.9274
2023-03-11 20:24:14:125,0,-8.71947,-2.20857,89.9228
2023-03-11 20:24:14:135,0,-8.67335,-2.23809,89.9133
2023-03-11 20:24:14:145,0,-8.62815,-2.26497,89.8991
2023-03-11 20:24:14:155,0,-8.57225,-2.2885,89.8808
2023-03-11 20:24:14:165,0,-8.51428,-2.30361,89.856
2023-03-11 20:24:14:176,0,-8.44673,-2.30987,89.8208
2023-03-11 20:24:14:186,0,-8.38049,-2.3038,89.7796
2023-03-11 20:24:14:196,0,-8.31467,-2.29194,89.7352
2023-03-11 20:24:14:206,0,-8.2623,-2.27209,89.6913
2023-03-11 20:24:14:215,0,-8.22087,-2.24706,89.6478
2023-03-11 20:24:14:225,0,-8.18864,-2.21896,89.6045
2023-03-11 20:24:14:235,0,-8.16713,-2.19065,89.5643
2023-03-11 20:24:14:246,0,-8.15495,-2.16597,89.5256
2023-03-11 20:24:14:256,0,-8.14793,-2.14736,89.489
2023-03-11 20:24:14:265,0,-8.14451,-2.12593,89.4568
2023-03-11 20:24:14:275,0,-8.14341,-2.09983,89.4259
2023-03-11 20:24:14:285,0,-8.15157,-2.07924,89.4019
2023-03-11 20:24:14:296,0,-8.16733,-2.05486,89.3857
2023-03-11 20:24:14:305,0,-8.20061,-2.03327,89.3759
2023-03-11 20:24:14:316,0,-8.24264,-2.01451,89.3754
2023-03-11 20:24:14:326,0,-8.2927,-2.00027,89.3812
2023-03-11 20:24:14:335,0,-8.35326,-1.98315,89.3981
2023-03-11 20:24:14:345,0,-8.4151,-1.96904,89.4197
2023-03-11 20:24:14:355,0,-8.47227,-1.956,89.4433
2023-03-11 20:24:14:365,0,-8.52313,-1.94806,89.4694
2023-03-11 20:24:14:375,0,-8.56464,-1.94208,89.4965
2023-03-11 20:24:14:385,0,-8.60261,-1.9422,89.5248
2023-03-11 20:24:14:395,0,-8.63124,-1.94911,89.55
2023-03-11 20:24:14:405,0,-8.65121,-1.95728,89.5709
2023-03-11 20:24:14:415,0,-8.66849,-1.96921,89.5875
2023-03-11 20:24:14:425,0,-8.67983,-1.98354,89.5981
2023-03-11 20:24:14:435,0,-8.68167,-1.99431,89.5945
2023-03-11 20:24:14:445,0,-8.6784,-2.00778,89.5871
2023-03-11 20:24:14:455,0,-8.66409,-2.02211,89.5731
2023-03-11 20:24:14:465,0,-8.64529,-2.03658,89.5565
2023-03-11 20:24:14:475,0,-8.6269,-2.04783,89.5418
2023-03-11 20:24:14:485,0,-8.60093,-2.06545,89.5259
2023-03-11 20:24:14:495,0,-8.56929,-2.08171,89.5114
2023-03-11 20:24:14:505,0,-8.53535,-2.09288,89.5008
2023-03-11 20:24:14:515,0,-8.50521,-2.10493,89.4972
2023-03-11 20:24:14:525,0,-8.47672,-2.11465,89.4961
2023-03-11 20:24:14:535,0,-8.44935,-2.12051,89.4957
2023-03-11 20:24:14:545,0,-8.42196,-2.12524,89.4972
2023-03-11 20:24:14:555,0,-8.3979,-2.12819,89.4971
2023-03-11 20:24:14:565,0,-8.38013,-2.12854,89.5024
2023-03-11 20:24:14:575,0,-8.36371,-2.12893,89.5073
2023-03-11 20:24:14:585,0,-8.34762,-2.12677,89.5076
2023-03-11 20:24:14:595,0,-8.33805,-2.12813,89.5074
