Timestamp_cmd,imu_cmd,roll_delta,pitch_delta,yaw_delta
2023-03-11 21:09:18:316,0,-10.8232,1.20617,91.3418
2023-03-11 21:09:18:324,0,-10.8378,1.20052,91.3057
2023-03-11 21:09:18:334,0,-10.8511,1.1956,91.2696
2023-03-11 21:09:18:345,0,-10.8631,1.19188,91.2303
2023-03-11 21:09:18:355,0,-10.8774,1.19251,91.1869
2023-03-11 21:09:18:365,0,-10.8865,1.19454,91.147
2023-03-11 21:09:18:375,0,-10.8856,1.19389,91.1003
2023-03-11 21:09:18:385,0,-10.8777,1.1957,91.0538
2023-03-11 21:09:18:395,0,-10.8535,1.19702,91.0072
2023-03-11 21:09:18:405,0,-10.8236,1.19684,90.96
2023-03-11 21:09:18:415,0,-10.7945,1.19325,90.9153
2023-03-11 21:09:18:425,0,-10.767,1.19119,90.873
2023-03-11 21:09:18:435,0,-10.7399,1.18531,90.8315
2023-03-11 21:09:18:445,0,-10.7177,1.18157,90.7893
2023-03-11 21:09:18:455,0,-10.7,1.17396,90.7486
2023-03-11 21:09:18:465,0,-10.6837,1.16206,90.7118
2023-03-11 21:09:18:475,0,-10.6645,1.14657,90.6755
2023-03-11 21:09:18:485,0,-10.6512,1.13257,90.6435
2023-03-11 21:09:18:495,0,-10.643,1.11743,90.6124
2023-03-11 21:09:18:505,0,-10.6357,1.10658,90.5837
2023-03-11 21:09:18:515,0,-10.6267,1.0925,90.5588
2023-03-11 21:09:18:525,0,-10.6192,1.08043,90.5371
2023-03-11 21:09:18:535,0,-10.6145,1.07095,90.5189
2023-03-11 21:09:18:545,0,-10.6116,1.06306,90.4994
2023-03-11 21:09:18:555,0,-10.6065,1.06119,90.4826
2023-03-11 21:09:18:565,0,-10.5977,1.05984,90.4675
2023-03-11 21:09:18:575,0,-10.5901,1.06606,90.4536
2023-03-11 21:09:18:585,0,-10.5793,1.07395,90.4423
2023-03-11 21:09:18:595,0,-10.5659,1.08162,90.4317
2023-03-11 21:09:18:605,0,-10.5521,1.08898,90.4257
2023-03-11 21:09:18:615,0,-10.5362,1.0983,90.4193
2023-03-11 21:09:18:625,0,-10.524,1.1062,90.4119
2023-03-11 21:09:18:635,0,-10.5072,1.11487,90.4051
2023-03-11 21:09:18:645,0,-10.4902,1.12493,90.4019
2023-03-11 21:09:18:655,0,-10.4729,1.13465,90.3956
2023-03-11 21:09:18:665,0,-10.4537,1.14151,90.3907
