Timestamp_cmd,imu_cmd,roll_delta,pitch_delta,yaw_delta
2023-03-11 22:46:47:806,0,-5.17933,-2.15049,-41.5109
2023-03-11 22:46:47:815,0,-5.21476,-2.16025,-41.441
2023-03-11 22:46:47:825,0,-5.2384,-2.16692,-41.3746
2023-03-11 22:46:47:835,0,-5.25267,-2.17404,-41.3148
2023-03-11 22:46:47:845,0,-5.24766,-2.18269,-41.2649
2023-03-11 22:46:47:855,0,-5.22864,-2.19373,-41.2232
2023-03-11 22:46:47:865,0,-5.20683,-2.20473,-41.1873
2023-03-11 22:46:47:875,0,-5.18631,-2.22017,-41.149
2023-03-11 22:46:47:885,0,-5.16564,-2.23652,-41.1134
2023-03-11 22:46:47:895,0,-5.14135,-2.24858,-41.0858
2023-03-11 22:46:47:905,0,-5.11336,-2.25239,-41.0765
2023-03-11 22:46:47:915,0,-5.08325,-2.23284,-41.0874
2023-03-11 22:46:47:925,0,-5.0532,-2.19619,-41.1144
2023-03-11 22:46:47:935,0,-5.02548,-2.14888,-41.1551
2023-03-11 22:46:47:945,0,-5.00207,-2.09344,-41.2082
2023-03-11 22:46:47:955,0,-4.98871,-2.03985,-41.2686
2023-03-11 22:46:47:965,0,-4.98093,-1.98856,-41.3396
2023-03-11 22:46:47:975,0,-4.98138,-1.93584,-41.4147
2023-03-11 22:46:47:985,0,-4.99464,-1.88237,-41.4891
2023-03-11 22:46:47:995,0,-5.02245,-1.8235,-41.5514
2023-03-11 22:46:48:5,0,-5.06708,-1.77604,-41.5858
2023-03-11 22:46:48:15,0,-5.12381,-1.74176,-41.5901
2023-03-11 22:46:48:25,0,-5.19323,-1.71306,-41.5666
2023-03-11 22:46:48:35,0,-5.26742,-1.68821,-41.5219
2023-03-11 22:46:48:45,0,-5.34951,-1.66784,-41.4541
2023-03-11 22:46:48:55,0,-5.43527,-1.64441,-41.3596
2023-03-11 22:46:48:65,0,-5.5223,-1.62473,-41.2457
2023-03-11 22:46:48:75,0,-5.60252,-1.60984,-41.1181
2023-03-11 22:46:48:85,0,-5.67014,-1.60673,-40.9889
2023-03-11 22:46:48:95,0,-5.71754,-1.61042,-40.866
2023-03-11 22:46:48:105,0,-5.73758,-1.61801,-40.7522
2023-03-11 22:46:48:115,0,-5.74497,-1.63177,-40.6517
2023-03-11 22:46:48:125,0,-5.73784,-1.65111,-40.5642
2023-03-11 22:46:48:135,0,-5.71586,-1.67703,-40.4944
2023-03-11 22:46:48:145,0,-5.68564,-1.70362,-40.4425
2023-03-11 22:46:48:155,0,-5.6393,-1.72838,-40.4032
2023-03-11 22:46:48:165,0,-5.58629,-1.75438,-40.3821
2023-03-11 22:46:48:174,0,-5.52785,-1.77366,-40.3739
2023-03-11 22:46:48:184,0,-5.46557,-1.79403,-40.3764
2023-03-11 22:46:48:194,0,-5.41074,-1.819,-40.3841
2023-03-11 22:46:48:204,0,-5.36832,-1.84971,-40.3974
2023-03-11 22:46:48:214,0,-5.33588,-1.88059,-40.4189
2023-03-11 22:46:48:225,0,-5.31458,-1.909,-40.4387
2023-03-11 22:46:48:235,0,-5.29429,-1.93099,-40.456
2023-03-11 22:46:48:245,0,-5.27789,-1.94893,-40.4673
2023-03-11 22:46:48:255,0,-5.25982,-1.96368,-40.472
2023-03-11 22:46:48:265,0,-5.24345,-1.97735,-40.4687
2023-03-11 22:46:48:275,0,-5.22786,-1.99156,-40.4534
2023-03-11 22:46:48:285,0,-5.21101,-2.00302,-40.4285
2023-03-11 22:46:48:295,0,-5.19281,-2.01776,-40.3978
2023-03-11 22:46:48:305,0,-5.17348,-2.03178,-40.3613
2023-03-11 22:46:48:315,0,-5.15712,-2.04859,-40.3172
2023-03-11 22:46:48:325,0,-5.14584,-2.06617,-40.2718
2023-03-11 22:46:48:335,0,-5.14123,-2.08167,-40.2267
2023-03-11 22:46:48:345,0,-5.1387,-2.09828,-40.1881
2023-03-11 22:46:48:355,0,-5.14013,-2.11402,-40.1557
2023-03-11 22:46:48:365,0,-5.14019,-2.12953,-40.1241
2023-03-11 22:46:48:375,0,-5.14104,-2.14285,-40.0921
2023-03-11 22:46:48:385,0,-5.14596,-2.1574,-40.0664
2023-03-11 22:46:48:395,0,-5.15284,-2.16824,-40.048
2023-03-11 22:46:48:405,0,-5.15979,-2.18205,-40.0346
2023-03-11 22:46:48:415,0,-5.17197,-2.19242,-40.0327
2023-03-11 22:46:48:425,0,-5.18377,-2.20059,-40.0345
2023-03-11 22:46:48:435,0,-5.1899,-2.20524,-40.0462
2023-03-11 22:46:48:445,0,-5.19263,-2.20901,-40.0581
2023-03-11 22:46:48:455,0,-5.19075,-2.21133,-40.067
2023-03-11 22:46:48:465,0,-5.1909,-2.2121,-40.0777
2023-03-11 22:46:48:475,0,-5.18703,-2.21312,-40.0842
2023-03-11 22:46:48:485,0,-5.18576,-2.21193,-40.0879
2023-03-11 22:46:48:495,0,-5.18695,-2.2176,-40.0893
2023-03-11 22:46:48:505,0,-5.18575,-2.22065,-40.0925
2023-03-11 22:46:48:515,0,-5.18239,-2.22163,-40.0922
2023-03-11 22:46:48:525,0,-5.1781,-2.22021,-40.0898
2023-03-11 22:46:48:535,0,-5.16795,-2.21263,-40.0879
2023-03-11 22:46:48:545,0,-5.15909,-2.2053,-40.0835
2023-03-11 22:46:48:555,0,-5.15388,-2.19331,-40.0781
2023-03-11 22:46:48:565,0,-5.14926,-2.17948,-40.0714
2023-03-11 22:46:48:575,0,-5.14604,-2.16719,-40.067
2023-03-11 22:46:48:585,0,-5.14511,-2.15106,-40.0666
2023-03-11 22:46:48:595,0,-5.13965,-2.13967,-40.0674
2023-03-11 22:46:48:605,0,-5.13344,-2.12938,-40.0731
2023-03-11 22:46:48:615,0,-5.12335,-2.11869,-40.0865
2023-03-11 22:46:48:625,0,-5.11704,-2.10134,-40.1083
2023-03-11 22:46:48:635,0,-5.11628,-2.08465,-40.1346
2023-03-11 22:46:48:645,0,-5.11782,-2.07073,-40.1544
2023-03-11 22:46:48:655,0,-5.1211,-2.06426,-40.1774
2023-03-11 22:46:48:665,0,-5.12911,-2.05864,-40.2017
2023-03-11 22:46:48:675,0,-5.1394,-2.0514,-40.2235
2023-03-11 22:46:48:685,0,-5.15597,-2.04135,-40.2387
2023-03-11 22:46:48:695,0,-5.1793,-2.03525,-40.2401
2023-03-11 22:46:48:705,0,-5.20453,-2.03219,-40.2372
2023-03-11 22:46:48:715,0,-5.22724,-2.03467,-40.2266
2023-03-11 22:46:48:725,0,-5.24568,-2.03926,-40.2086
2023-03-11 22:46:48:735,0,-5.26115,-2.047,-40.1862
2023-03-11 22:46:48:745,0,-5.2673,-2.05384,-40.1698
2023-03-11 22:46:48:755,0,-5.26667,-2.06337,-40.1541
2023-03-11 22:46:48:765,0,-5.26055,-2.06677,-40.1423
2023-03-11 22:46:48:775,0,-5.25237,-2.07314,-40.1419
2023-03-11 22:46:48:785,0,-5.24555,-2.07928,-40.1435
2023-03-11 22:46:48:795,0,-5.23678,-2.08589,-40.1521
2023-03-11 22:46:48:805,0,-5.23162,-2.09531,-40.1633
2023-03-11 22:46:48:815,0,-5.231,-2.10096,-40.1689
2023-03-11 22:46:48:825,0,-5.23633,-2.10927,-40.1714
2023-03-11 22:46:48:835,0,-5.2457,-2.11974,-40.1684
2023-03-11 22:46:48:845,0,-5.26222,-2.12924,-40.1626
2023-03-11 22:46:48:855,0,-5.27567,-2.13309,-40.1563
