Timestamp_cmd,imu_cmd,roll_delta,pitch_delta,yaw_delta
2023-03-11 22:52:11:760,0,-10.7377,1.2835,-35.8227
2023-03-11 22:52:11:767,0,-10.7377,1.27009,-35.7786
2023-03-11 22:52:11:777,0,-10.7313,1.26308,-35.739
2023-03-11 22:52:11:787,0,-10.7166,1.27025,-35.7096
2023-03-11 22:52:11:797,0,-10.6985,1.27816,-35.6821
2023-03-11 22:52:11:807,0,-10.6794,1.2782,-35.6452
2023-03-11 22:52:11:817,0,-10.6742,1.27615,-35.5966
2023-03-11 22:52:11:827,0,-10.6758,1.27158,-35.5417
2023-03-11 22:52:11:837,0,-10.6927,1.27063,-35.476
2023-03-11 22:52:11:847,0,-10.7089,1.27641,-35.4013
2023-03-11 22:52:11:857,0,-10.7249,1.29428,-35.3201
2023-03-11 22:52:11:867,0,-10.7404,1.32742,-35.2309
2023-03-11 22:52:11:878,0,-10.7473,1.37461,-35.1453
2023-03-11 22:52:11:887,0,-10.7501,1.42698,-35.0721
2023-03-11 22:52:11:898,0,-10.7478,1.48693,-35.0069
2023-03-11 22:52:11:907,0,-10.7406,1.54353,-34.9465
2023-03-11 22:52:11:918,0,-10.7302,1.5899,-34.8782
2023-03-11 22:52:11:928,0,-10.7154,1.62395,-34.8131
2023-03-11 22:52:11:938,0,-10.6939,1.6408,-34.7566
2023-03-11 22:52:11:947,0,-10.6653,1.64507,-34.7148
2023-03-11 22:52:11:958,0,-10.6376,1.64161,-34.6896
2023-03-11 22:52:11:968,0,-10.6014,1.63182,-34.6757
2023-03-11 22:52:11:978,0,-10.5692,1.61502,-34.678
2023-03-11 22:52:11:988,0,-10.5432,1.58854,-34.6877
2023-03-11 22:52:11:998,0,-10.5345,1.55283,-34.7099
2023-03-11 22:52:12:8,0,-10.5422,1.51455,-34.7381
2023-03-11 22:52:12:18,0,-10.5627,1.46932,-34.7641
2023-03-11 22:52:12:28,0,-10.5872,1.42563,-34.7881
2023-03-11 22:52:12:37,0,-10.6145,1.38702,-34.8081
2023-03-11 22:52:12:48,0,-10.6329,1.3534,-34.821
2023-03-11 22:52:12:58,0,-10.6493,1.32774,-34.8249
2023-03-11 22:52:12:67,0,-10.6612,1.30557,-34.8162
2023-03-11 22:52:12:78,0,-10.6773,1.28235,-34.7855
2023-03-11 22:52:12:87,0,-10.6967,1.26504,-34.7372
2023-03-11 22:52:12:97,0,-10.7149,1.24974,-34.6767
2023-03-11 22:52:12:107,0,-10.7288,1.24026,-34.6017
2023-03-11 22:52:12:117,0,-10.7364,1.24417,-34.5198
2023-03-11 22:52:12:127,0,-10.7367,1.25176,-34.4283
2023-03-11 22:52:12:137,0,-10.7334,1.27014,-34.3332
2023-03-11 22:52:12:147,0,-10.7297,1.29001,-34.2349
2023-03-11 22:52:12:157,0,-10.7261,1.3093,-34.1391
2023-03-11 22:52:12:167,0,-10.7164,1.33085,-34.0487
2023-03-11 22:52:12:177,0,-10.6979,1.35352,-33.9664
2023-03-11 22:52:12:187,0,-10.6785,1.37475,-33.8946
2023-03-11 22:52:12:197,0,-10.6519,1.39834,-33.8358
2023-03-11 22:52:12:207,0,-10.6312,1.41434,-33.7886
2023-03-11 22:52:12:217,0,-10.6123,1.42585,-33.7488
2023-03-11 22:52:12:227,0,-10.5954,1.42959,-33.7161
2023-03-11 22:52:12:237,0,-10.578,1.42651,-33.6908
2023-03-11 22:52:12:247,0,-10.5598,1.41878,-33.6802
2023-03-11 22:52:12:257,0,-10.5431,1.41034,-33.6788
2023-03-11 22:52:12:267,0,-10.5246,1.40133,-33.6854
2023-03-11 22:52:12:277,0,-10.5085,1.39613,-33.693
2023-03-11 22:52:12:287,0,-10.4931,1.39238,-33.6994
2023-03-11 22:52:12:297,0,-10.4804,1.3936,-33.702
2023-03-11 22:52:12:307,0,-10.4634,1.39233,-33.6991
2023-03-11 22:52:12:317,0,-10.446,1.3921,-33.6958
2023-03-11 22:52:12:327,0,-10.425,1.39685,-33.6896
2023-03-11 22:52:12:337,0,-10.4041,1.3975,-33.6815
2023-03-11 22:52:12:347,0,-10.3817,1.39774,-33.6738
2023-03-11 22:52:12:357,0,-10.3572,1.40085,-33.6652
2023-03-11 22:52:12:367,0,-10.3369,1.40086,-33.6517
2023-03-11 22:52:12:377,0,-10.3255,1.40175,-33.6398
2023-03-11 22:52:12:387,0,-10.3155,1.40507,-33.6245
2023-03-11 22:52:12:397,0,-10.3065,1.40427,-33.614
2023-03-11 22:52:12:407,0,-10.303,1.40615,-33.604
2023-03-11 22:52:12:417,0,-10.3034,1.40804,-33.5918
2023-03-11 22:52:12:427,0,-10.3064,1.40809,-33.5816
2023-03-11 22:52:12:438,0,-10.3086,1.40914,-33.5691
2023-03-11 22:52:12:447,0,-10.3192,1.41025,-33.5609
2023-03-11 22:52:12:457,0,-10.3244,1.41187,-33.5523
2023-03-11 22:52:12:467,0,-10.3278,1.40945,-33.5424
2023-03-11 22:52:12:477,0,-10.3284,1.40109,-33.5323
2023-03-11 22:52:12:487,0,-10.3282,1.39204,-33.5181
2023-03-11 22:52:12:497,0,-10.3286,1.38251,-33.5017
2023-03-11 22:52:12:507,0,-10.323,1.3712,-33.4888
2023-03-11 22:52:12:517,0,-10.3125,1.36517,-33.4722
2023-03-11 22:52:12:527,0,-10.2985,1.35877,-33.4569
2023-03-11 22:52:12:537,0,-10.2848,1.35164,-33.4464
2023-03-11 22:52:12:547,0,-10.2706,1.34529,-33.4342
2023-03-11 22:52:12:557,0,-10.2541,1.33822,-33.4198
2023-03-11 22:52:12:567,0,-10.2399,1.33061,-33.4047
2023-03-11 22:52:12:577,0,-10.2314,1.3238,-33.3911
2023-03-11 22:52:12:587,0,-10.2238,1.31606,-33.3808
2023-03-11 22:52:12:597,0,-10.2221,1.30843,-33.3739
2023-03-11 22:52:12:607,0,-10.2204,1.30143,-33.3637
2023-03-11 22:52:12:618,0,-10.2191,1.29458,-33.3525
2023-03-11 22:52:12:627,0,-10.2236,1.28762,-33.3391
2023-03-11 22:52:12:637,0,-10.2278,1.28481,-33.3248
2023-03-11 22:52:12:647,0,-10.2341,1.27703,-33.3092
2023-03-11 22:52:12:657,0,-10.2383,1.26868,-33.2908
2023-03-11 22:52:12:667,0,-10.2441,1.2637,-33.2748
2023-03-11 22:52:12:677,0,-10.2555,1.26436,-33.2653
2023-03-11 22:52:12:687,0,-10.2649,1.26567,-33.2612
2023-03-11 22:52:12:697,0,-10.2751,1.27284,-33.2555
2023-03-11 22:52:12:707,0,-10.2881,1.28182,-33.2491
2023-03-11 22:52:12:717,0,-10.2977,1.28947,-33.2484
2023-03-11 22:52:12:727,0,-10.311,1.29689,-33.2458
2023-03-11 22:52:12:737,0,-10.3233,1.30424,-33.2459
2023-03-11 22:52:12:747,0,-10.3346,1.3134,-33.2513
2023-03-11 22:52:12:757,0,-10.3484,1.3223,-33.2609
2023-03-11 22:52:12:767,0,-10.3652,1.34453,-33.2774
2023-03-11 22:52:12:777,0,-10.3851,1.36736,-33.3035
2023-03-11 22:52:12:787,0,-10.4022,1.39253,-33.329
2023-03-11 22:52:12:797,0,-10.4187,1.41794,-33.3571
2023-03-11 22:52:12:808,0,-10.44,1.44411,-33.386
2023-03-11 22:52:12:817,0,-10.4612,1.46755,-33.4114
2023-03-11 22:52:12:828,0,-10.4843,1.49301,-33.4421
2023-03-11 22:52:12:837,0,-10.5019,1.5176,-33.4736
2023-03-11 22:52:12:847,0,-10.5205,1.54227,-33.4997
2023-03-11 22:52:12:857,0,-10.5391,1.57075,-33.5282
2023-03-11 22:52:12:867,0,-10.5596,1.59301,-33.5554
2023-03-11 22:52:12:877,0,-10.5739,1.61282,-33.5824
2023-03-11 22:52:12:887,0,-10.5903,1.63244,-33.6112
2023-03-11 22:52:12:897,0,-10.6007,1.64698,-33.6422
2023-03-11 22:52:12:907,0,-10.6076,1.66078,-33.6708
2023-03-11 22:52:12:917,0,-10.6086,1.67085,-33.7005
2023-03-11 22:52:12:927,0,-10.6101,1.68013,-33.7311
2023-03-11 22:52:12:937,0,-10.6158,1.6834,-33.762
2023-03-11 22:52:12:947,0,-10.6208,1.68512,-33.7861
2023-03-11 22:52:12:957,0,-10.6269,1.68457,-33.8044
2023-03-11 22:52:12:967,0,-10.6328,1.68237,-33.8191
2023-03-11 22:52:12:977,0,-10.6447,1.68375,-33.8277
2023-03-11 22:52:12:988,0,-10.656,1.68337,-33.8335
2023-03-11 22:52:12:998,0,-10.6694,1.68433,-33.8321
2023-03-11 22:52:13:7,0,-10.68,1.68704,-33.8241
2023-03-11 22:52:13:18,0,-10.6934,1.68773,-33.8114
2023-03-11 22:52:13:27,0,-10.7061,1.68646,-33.7937
2023-03-11 22:52:13:38,0,-10.7148,1.68138,-33.777
2023-03-11 22:52:13:47,0,-10.7252,1.67823,-33.7612
2023-03-11 22:52:13:57,0,-10.7308,1.67173,-33.7514
2023-03-11 22:52:13:67,0,-10.733,1.66387,-33.7438
2023-03-11 22:52:13:77,0,-10.728,1.65275,-33.7384
