Timestamp_cmd,imu_cmd,roll_delta,pitch_delta,yaw_delta,voice_type,voice_length
2023-03-14 16:19:15:460,0,-6.35291,-5.16313,69.75,Q,Q
2023-03-14 16:19:15:468,0,-6.35791,-5.14821,69.7658,Q,Q
2023-03-14 16:19:15:478,0,-6.36133,-5.13312,69.783,Q,Q
2023-03-14 16:19:15:488,0,-6.36479,-5.11985,69.8025,Q,Q
2023-03-14 16:19:15:498,0,-6.36398,-5.10877,69.825,Q,Q
2023-03-14 16:19:15:508,0,-6.35736,-5.09979,69.8456,Q,Q
2023-03-14 16:19:15:518,0,-6.3493,-5.09207,69.8652,Q,Q
2023-03-14 16:19:15:528,0,-6.34042,-5.08402,69.8798,Q,Q
2023-03-14 16:19:15:538,0,-6.32735,-5.07988,69.8899,Q,Q
2023-03-14 16:19:15:548,0,-6.31357,-5.07651,69.8915,Q,Q
2023-03-14 16:19:15:558,0,-6.3037,-5.07223,69.8875,Q,Q
2023-03-14 16:19:15:568,0,-6.28824,-5.07126,69.8767,Q,Q
2023-03-14 16:19:15:578,0,-6.27709,-5.07123,69.8632,Q,Q
2023-03-14 16:19:15:588,0,-6.26483,-5.07865,69.8445,Q,Q
2023-03-14 16:19:15:598,0,-6.25952,-5.08625,69.8259,Q,Q
2023-03-14 16:19:15:608,0,-6.25282,-5.09537,69.8077,Q,Q
2023-03-14 16:19:15:618,0,-6.24806,-5.10624,69.7923,Q,Q
2023-03-14 16:19:15:628,0,-6.24415,-5.11798,69.7773,Q,Q
2023-03-14 16:19:15:638,0,-6.24536,-5.12648,69.7651,Q,Q
2023-03-14 16:19:15:648,0,-6.24881,-5.12851,69.7574,Q,Q
2023-03-14 16:19:15:658,0,-6.25608,-5.13075,69.755,Q,Q
2023-03-14 16:19:15:668,0,-6.26445,-5.13477,69.7528,Q,Q
2023-03-14 16:19:15:678,0,-6.27186,-5.14075,69.7531,Q,Q
2023-03-14 16:19:15:688,0,-6.28047,-5.14622,69.7612,Q,Q
2023-03-14 16:19:15:698,0,-6.28953,-5.14813,69.7671,Q,Q
2023-03-14 16:19:15:708,0,-6.2937,-5.15626,69.7762,Q,Q
2023-03-14 16:19:15:718,0,-6.29967,-5.16135,69.7836,Q,Q
2023-03-14 16:19:15:728,0,-6.30689,-5.1653,69.7872,Q,Q
2023-03-14 16:19:15:738,0,-6.31523,-5.16917,69.7911,Q,Q
2023-03-14 16:19:15:748,0,-6.32068,-5.17117,69.7929,Q,Q
2023-03-14 16:19:15:758,0,-6.32991,-5.17358,69.7895,Q,Q
2023-03-14 16:19:15:768,0,-6.34072,-5.17581,69.7873,Q,Q
2023-03-14 16:19:15:778,0,-6.34811,-5.177,69.7847,Q,Q
2023-03-14 16:19:15:788,0,-6.34721,-5.17791,69.7856,Q,Q
2023-03-14 16:19:15:798,0,-6.34391,-5.18146,69.7816,Q,Q
2023-03-14 16:19:15:808,0,-6.33812,-5.18585,69.7826,Q,Q
2023-03-14 16:19:15:818,0,-6.33709,-5.19018,69.7881,Q,Q
2023-03-14 16:19:15:828,0,-6.33835,-5.19279,69.7948,Q,Q
2023-03-14 16:19:15:838,0,-6.33738,-5.19125,69.8004,Q,Q
2023-03-14 16:19:15:848,0,-6.33773,-5.19207,69.8073,Q,Q
2023-03-14 16:19:15:858,0,-6.33902,-5.19075,69.8123,Q,Q
2023-03-14 16:19:15:868,0,-6.34083,-5.18877,69.8185,Q,Q
2023-03-14 16:19:15:878,0,-6.34279,-5.18475,69.8225,Q,Q
2023-03-14 16:19:15:888,0,-6.3385,-5.18172,69.8231,Q,Q
2023-03-14 16:19:15:898,0,-6.33069,-5.17076,69.82,Q,Q
2023-03-14 16:19:15:908,0,-6.32323,-5.16109,69.814,Q,Q
2023-03-14 16:19:15:918,0,-6.31708,-5.14825,69.8055,Q,Q
2023-03-14 16:19:15:928,0,-6.31082,-5.13712,69.7945,Q,Q
2023-03-14 16:19:15:938,0,-6.30665,-5.124,69.7788,Q,Q
2023-03-14 16:19:15:948,0,-6.30458,-5.10898,69.7622,Q,Q
2023-03-14 16:19:15:958,0,-6.29991,-5.09625,69.7425,Q,Q
2023-03-14 16:19:15:968,0,-6.29439,-5.08414,69.722,Q,Q
2023-03-14 16:19:15:978,0,-6.29181,-5.07288,69.6988,Q,Q
2023-03-14 16:19:15:988,0,-6.28887,-5.06204,69.6753,Q,Q
2023-03-14 16:19:15:998,0,-6.2864,-5.05206,69.6558,Q,Q
2023-03-14 16:19:16:8,0,-6.28156,-5.0432,69.6332,Q,Q
2023-03-14 16:19:16:18,0,-6.27847,-5.03259,69.6143,Q,Q
2023-03-14 16:19:16:28,0,-6.27241,-5.02046,69.5934,Q,Q
2023-03-14 16:19:16:38,0,-6.26172,-5.0126,69.5746,Q,Q
2023-03-14 16:19:16:48,0,-6.24617,-5.00943,69.5582,Q,Q
2023-03-14 16:19:16:58,0,-6.22974,-5.00643,69.5391,Q,Q
2023-03-14 16:19:16:68,0,-6.21074,-5.00498,69.5287,Q,Q
2023-03-14 16:19:16:78,0,-6.19851,-5.00202,69.521,Q,Q
2023-03-14 16:19:16:88,0,-6.18875,-5.00447,69.5152,Q,Q
2023-03-14 16:19:16:98,0,-6.17902,-5.00488,69.511,Q,Q
2023-03-14 16:19:16:108,0,-6.1684,-5.00675,69.5136,Q,Q
2023-03-14 16:19:16:118,0,-6.15759,-5.01071,69.5194,Q,Q
2023-03-14 16:19:16:128,0,-6.14542,-5.01396,69.5287,Q,Q
2023-03-14 16:19:16:138,0,-6.13376,-5.02197,69.5396,Q,Q
2023-03-14 16:19:16:148,0,-6.1201,-5.02992,69.5514,Q,Q
2023-03-14 16:19:16:158,0,-6.10691,-5.03794,69.564,Q,Q
2023-03-14 16:19:16:168,0,-6.09536,-5.04504,69.5719,Q,Q
2023-03-14 16:19:16:178,0,-6.08942,-5.05164,69.5806,Q,Q
2023-03-14 16:19:16:188,0,-6.08468,-5.06173,69.5888,Q,Q
2023-03-14 16:19:16:198,0,-6.08201,-5.07259,69.5955,Q,Q
2023-03-14 16:19:16:208,0,-6.08277,-5.08273,69.6011,Q,Q
2023-03-14 16:19:16:218,0,-6.07874,-5.09155,69.6021,Q,Q
2023-03-14 16:19:16:228,0,-6.07918,-5.10508,69.6057,Q,Q
2023-03-14 16:19:16:238,0,-6.08012,-5.11396,69.6089,Q,Q
2023-03-14 16:19:16:248,0,-6.08228,-5.12555,69.6147,Q,Q
2023-03-14 16:19:16:258,0,-6.08863,-5.13497,69.6168,Q,Q
2023-03-14 16:19:16:268,0,-6.09338,-5.14212,69.6217,Q,Q
2023-03-14 16:19:16:278,0,-6.10126,-5.1455,69.6253,Q,Q
2023-03-14 16:19:16:288,0,-6.10987,-5.14656,69.6247,Q,Q
2023-03-14 16:19:16:298,0,-6.12223,-5.14666,69.6207,Q,Q
2023-03-14 16:19:16:308,0,-6.13452,-5.14904,69.6182,Q,Q
2023-03-14 16:19:16:318,0,-6.14319,-5.15116,69.6138,Q,Q
2023-03-14 16:19:16:328,0,-6.15287,-5.15273,69.6097,Q,Q
2023-03-14 16:19:16:338,0,-6.16339,-5.15323,69.604,Q,Q
2023-03-14 16:19:16:348,0,-6.17341,-5.15034,69.6019,Q,Q
2023-03-14 16:19:16:358,0,-6.1802,-5.1509,69.5964,Q,Q
2023-03-14 16:19:16:368,0,-6.18728,-5.14861,69.5917,Q,Q
2023-03-14 16:19:16:378,0,-6.18938,-5.1448,69.5865,Q,Q
