Timestamp_cmd,imu_cmd,roll_delta,pitch_delta,yaw_delta,voice_type,voice_length
2023-03-15 11:42:53:0,0,-79.7431,0.503026,77.9299,Q,Q
2023-03-15 11:42:53:8,0,-79.7419,0.504836,77.9341,Q,Q
2023-03-15 11:42:53:18,0,-79.7415,0.501272,77.9319,Q,Q
2023-03-15 11:42:53:28,0,-79.7412,0.50299,77.9326,Q,Q
2023-03-15 11:42:53:38,0,-79.7449,0.503936,77.9278,Q,Q
2023-03-15 11:42:53:48,0,-79.7469,0.504139,77.926,Q,Q
2023-03-15 11:42:53:58,0,-79.7471,0.502172,77.9272,Q,Q
2023-03-15 11:42:53:68,0,-79.7428,0.502505,77.9274,Q,Q
2023-03-15 11:42:53:78,0,-79.7444,0.500311,77.9271,Q,Q
2023-03-15 11:42:53:88,0,-79.744,0.50042,77.9256,Q,Q
2023-03-15 11:42:53:98,0,-79.7479,0.497133,77.9242,Q,Q
2023-03-15 11:42:53:108,0,-79.749,0.497077,77.9222,Q,Q
2023-03-15 11:42:53:118,0,-79.7503,0.497577,77.9204,Q,Q
2023-03-15 11:42:53:128,0,-79.7542,0.495798,77.9219,Q,Q
2023-03-15 11:42:53:138,0,-79.7519,0.496096,77.9201,Q,Q
2023-03-15 11:42:53:148,0,-79.7484,0.49494,77.9237,Q,Q
2023-03-15 11:42:53:158,0,-79.7474,0.494669,77.9248,Q,Q
2023-03-15 11:42:53:168,0,-79.747,0.491393,77.9224,Q,Q
2023-03-15 11:42:53:178,0,-79.75,0.492565,77.9241,Q,Q
2023-03-15 11:42:53:188,0,-79.7561,0.496181,77.923,Q,Q
2023-03-15 11:42:53:198,0,-79.7553,0.496187,77.9244,Q,Q
2023-03-15 11:42:53:208,0,-79.7553,0.494943,77.9258,Q,Q
2023-03-15 11:42:53:218,0,-79.7519,0.493272,77.9214,Q,Q
2023-03-15 11:42:53:228,0,-79.7481,0.491745,77.9223,Q,Q
2023-03-15 11:42:53:238,0,-79.7461,0.491418,77.9243,Q,Q
2023-03-15 11:42:53:248,0,-79.747,0.492579,77.9282,Q,Q
2023-03-15 11:42:53:258,0,-79.75,0.492668,77.9253,Q,Q
2023-03-15 11:42:53:268,0,-79.7513,0.495883,77.9239,Q,Q
2023-03-15 11:42:53:278,0,-79.7533,0.497073,77.924,Q,Q
2023-03-15 11:42:53:288,0,-79.7528,0.495697,77.9254,Q,Q
2023-03-15 11:42:53:298,0,-79.7526,0.498093,77.9226,Q,Q
2023-03-15 11:42:53:308,0,-79.749,0.499578,77.9227,Q,Q
2023-03-15 11:42:53:318,0,-79.7499,0.498311,77.9206,Q,Q
2023-03-15 11:42:53:328,0,-79.7519,0.498659,77.9207,Q,Q
2023-03-15 11:42:53:338,0,-79.7526,0.499583,77.9208,Q,Q
2023-03-15 11:42:53:348,0,-79.7522,0.495888,77.918,Q,Q
2023-03-15 11:42:53:358,0,-79.7553,0.495653,77.9145,Q,Q
2023-03-15 11:42:53:368,0,-79.7559,0.495133,77.9134,Q,Q
2023-03-15 11:42:53:378,0,-79.7532,0.497774,77.9134,Q,Q
2023-03-15 11:42:53:388,0,-79.7513,0.497559,77.9135,Q,Q
2023-03-15 11:42:53:398,0,-79.7541,0.497202,77.9129,Q,Q
2023-03-15 11:42:53:408,0,-79.7532,0.497388,77.9112,Q,Q
2023-03-15 11:42:53:418,0,-79.7545,0.499763,77.91,Q,Q
2023-03-15 11:42:53:428,0,-79.756,0.501056,77.9082,Q,Q
2023-03-15 11:42:53:438,0,-79.7564,0.500402,77.9094,Q,Q
2023-03-15 11:42:53:448,0,-79.7564,0.502036,77.911,Q,Q
2023-03-15 11:42:53:458,0,-79.7602,0.502587,77.9122,Q,Q
2023-03-15 11:42:53:468,0,-79.7612,0.503635,77.912,Q,Q
2023-03-15 11:42:53:478,0,-79.7599,0.502545,77.9122,Q,Q
2023-03-15 11:42:53:488,0,-79.7587,0.502255,77.9133,Q,Q
2023-03-15 11:42:53:498,0,-79.7573,0.500551,77.9136,Q,Q
2023-03-15 11:42:53:508,0,-79.7578,0.498789,77.9137,Q,Q
2023-03-15 11:42:53:518,0,-79.759,0.495678,77.9139,Q,Q
2023-03-15 11:42:53:528,0,-79.7573,0.494685,77.9136,Q,Q
2023-03-15 11:42:53:538,0,-79.7594,0.500084,77.9156,Q,Q
2023-03-15 11:42:53:548,0,-79.7597,0.499224,77.9109,Q,Q
