Timestamp,Acceleration_x,Acceleration_y,Acceleration_z,roll,pitch,yaw
2023-01-13 09:18:49502,-0.0225849,-0.098038,-0.997617,0.0976416,-0.0228004,-2.65584
2023-01-13 09:18:49512,-0.0223157,-0.0982779,-0.996924,0.0974871,-0.0227428,-2.65566
2023-01-13 09:18:49522,-0.0201013,-0.0976194,-0.99656,0.097381,-0.022708,-2.65552
2023-01-13 09:18:49532,-0.017941,-0.0976582,-0.998537,0.0972385,-0.0227779,-2.65537
2023-01-13 09:18:49542,-0.0171017,-0.0969903,-0.999991,0.0970794,-0.0228109,-2.65521
2023-01-13 09:18:49552,-0.017441,-0.0964664,-0.999907,0.0969057,-0.0228722,-2.65508
2023-01-13 09:18:49562,-0.0175234,-0.0955271,-0.999066,0.0966567,-0.0228631,-2.65494
2023-01-13 09:18:49572,-0.0185118,-0.0951198,-0.998155,0.0963962,-0.0228482,-2.65482
2023-01-13 09:18:49582,-0.0181005,-0.0948616,-0.995486,0.0961313,-0.0228958,-2.65466
2023-01-13 09:18:49592,-0.0152129,-0.0930183,-0.99531,0.095868,-0.0229079,-2.65449
2023-01-13 09:18:49602,-0.0132949,-0.0924943,-0.997453,0.0956293,-0.0229944,-2.65438
2023-01-13 09:18:49612,-0.0144192,-0.0941175,-0.998829,0.0953492,-0.023086,-2.65427
2023-01-13 09:18:49622,-0.0171431,-0.092018,-0.997991,0.0950641,-0.023243,-2.65426
2023-01-13 09:18:49632,-0.0173193,-0.0907292,-0.9985,0.0947803,-0.0233714,-2.65427
2023-01-13 09:18:49642,-0.0165089,-0.092189,-0.999006,0.0944904,-0.0236024,-2.65428
2023-01-13 09:18:49652,-0.0170188,-0.0908306,-0.99682,0.0941864,-0.0237672,-2.6543
2023-01-13 09:18:49662,-0.0184756,-0.08834,-0.994143,0.0939021,-0.0239735,-2.65433
2023-01-13 09:18:49672,-0.0192807,-0.087937,-0.992754,0.0935805,-0.0241971,-2.65439
2023-01-13 09:18:49682,-0.0216043,-0.0880057,-0.995172,0.0933351,-0.0244536,-2.65448
2023-01-13 09:18:49693,-0.0221966,-0.0892769,-0.997677,0.0932074,-0.0246607,-2.65464
2023-01-13 09:18:49702,-0.0257909,-0.0886027,-0.996997,0.0930332,-0.0248807,-2.65481
2023-01-13 09:18:49712,-0.0279212,-0.086698,-0.996032,0.0928488,-0.0250689,-2.65505
2023-01-13 09:18:49722,-0.0290033,-0.085939,-0.995138,0.0926533,-0.0252612,-2.65525
2023-01-13 09:18:49732,-0.0284017,-0.0870141,-0.992448,0.0924807,-0.0253515,-2.6554
2023-01-13 09:18:49742,-0.0267591,-0.0888058,-0.990435,0.0924196,-0.0254102,-2.65556
2023-01-13 09:18:49752,-0.0272729,-0.0896751,-0.989639,0.0924079,-0.0254161,-2.65569
2023-01-13 09:18:49762,-0.0283559,-0.0914696,-0.991043,0.0924834,-0.0254782,-2.65582
2023-01-13 09:18:49772,-0.0285357,-0.0922108,-0.991666,0.0925508,-0.0255362,-2.65592
2023-01-13 09:18:49782,-0.0287797,-0.0933607,-0.991153,0.0926085,-0.0256175,-2.65604
2023-01-13 09:18:49792,-0.0287982,-0.0927782,-0.990949,0.0927353,-0.0257531,-2.65607
2023-01-13 09:18:49802,-0.0273224,-0.0932322,-0.992594,0.092865,-0.0258251,-2.65603
2023-01-13 09:18:49812,-0.0267364,-0.0943659,-0.9943,0.0930113,-0.0259134,-2.656
2023-01-13 09:18:49822,-0.0290876,-0.0948556,-0.992973,0.0931915,-0.0259953,-2.65597
2023-01-13 09:18:49832,-0.0294146,-0.0945323,-0.99138,0.0934339,-0.0260909,-2.65595
2023-01-13 09:18:49842,-0.0283508,-0.0948316,-0.990968,0.0937026,-0.0261438,-2.6559
2023-01-13 09:18:49852,-0.0266664,-0.0969458,-0.993642,0.094064,-0.0260811,-2.65575
