Timestamp,Acceleration_x,Acceleration_y,Acceleration_z,roll,pitch,yaw
2023-01-13 09:27:56:678,-0.0184513,-0.0186529,-0.991894,0.0365623,-0.018036,0.895238
2023-01-13 09:27:56:922,0.0114733,-0.0229983,-0.986404,0.035039,-0.00798664,0.897534
2023-01-13 09:27:57:192,0.00659393,-0.0369877,-0.998878,0.039849,-0.00417659,0.903264
2023-01-13 09:27:57:491,-0.00155463,-0.0326258,-0.999837,0.0358111,-0.00331613,0.89957
2023-01-13 09:27:57:735,-0.00207168,-0.0362947,-1.00291,0.0370772,-0.00424441,0.898024
2023-01-13 09:27:57:984,-0.00256505,-0.0349762,-0.996342,0.0374567,-0.00547859,0.893749
2023-01-13 09:27:58:233,-0.00500011,-0.033725,-0.999461,0.0350016,-0.0042765,0.889908
2023-01-13 09:27:58:559,-0.00114638,-0.0282953,-1.00311,0.0309899,-0.00379057,0.881476
2023-01-13 09:27:58:901,-0.0144686,-0.029207,-1.00179,0.0315366,-0.00351332,0.868863
2023-01-13 09:27:59:220,-0.00734785,-0.0351046,-1.00052,0.0344331,-0.00225522,0.864097
2023-01-13 09:27:59:477,-0.00822588,-0.0356696,-1.00112,0.0359983,-0.00336165,0.863341
2023-01-13 09:27:59:720,0.00309955,-0.0391788,-0.998555,0.0373123,-0.00386703,0.863869
2023-01-13 09:27:59:962,-0.00132362,-0.0343403,-0.999958,0.0372552,-0.00312454,0.862476
2023-01-13 09:28:00:205,-0.000145051,-0.039607,-1.00136,0.0392475,-0.00091696,0.863874
2023-01-13 09:28:00:495,0.00399134,-0.042411,-0.998125,0.0402286,-0.00107121,0.865063
2023-01-13 09:28:00:748,0.00281039,-0.0427294,-1.00166,0.0417183,-0.00123006,0.865609
2023-01-13 09:28:01:63,-0.00564046,-0.0428859,-1.00028,0.0414186,-0.000875921,0.866849
2023-01-13 09:28:01:383,0.000912292,-0.0435479,-1.00375,0.0419019,0.000337607,0.867934
2023-01-13 09:28:01:700,0.0106009,-0.0433166,-1.00507,0.0410247,0.00163099,0.86662
2023-01-13 09:28:01:957,-0.00508825,-0.0448308,-1.00375,0.0428316,0.000608602,0.864117
2023-01-13 09:28:02:211,-0.0084833,-0.0439903,-1.00173,0.0422372,-0.00130958,0.862424
2023-01-13 09:28:02:483,0.00322002,-0.0416307,-1.00192,0.0409076,-0.000670972,0.863053
2023-01-13 09:28:02:714,-0.00105375,-0.0373224,-0.995727,0.0409005,-0.00182734,0.861724
2023-01-13 09:28:02:998,-0.0116989,-0.0427645,-0.995893,0.0434778,-0.0024588,0.86113
2023-01-13 09:28:03:276,0.00528491,-0.0451305,-1.00083,0.044131,-0.00122037,0.862895
2023-01-13 09:28:03:621,0.00169202,-0.0439657,-0.996529,0.0424045,-0.00111325,0.863228
2023-01-13 09:28:03:921,0.00193068,-0.0406225,-0.995764,0.0436378,-0.00214439,0.864024
2023-01-13 09:28:04:222,-0.000853613,-0.0449786,-0.9998,0.0446447,-0.00186517,0.864194
2023-01-13 09:28:04:475,-0.00472231,-0.0441772,-1.00063,0.0447468,-0.00196988,0.864458
2023-01-13 09:28:04:715,0.00117721,-0.0430632,-1.00078,0.0443206,-0.00088286,0.865357
2023-01-13 09:28:04:961,-0.000555078,-0.0446864,-1.00114,0.044938,-0.000993155,0.864922
2023-01-13 09:28:05:207,0.00237445,-0.0455087,-1.00078,0.0449933,-0.00117107,0.865356
2023-01-13 09:28:05:455,-0.00277751,-0.0429994,-1.00079,0.0433685,-0.00211532,0.864565
2023-01-13 09:28:05:703,-0.00491195,-0.0403429,-0.996215,0.0429943,-0.00204594,0.864423
2023-01-13 09:28:06:4,0.00475852,-0.043192,-1.00178,0.0433801,-0.00141346,0.863436
2023-01-13 09:28:06:317,-0.0135702,-0.0191934,-0.984854,0.0359316,-0.00678038,0.778847
2023-01-13 09:28:06:687,0.0161967,-0.0204351,-0.993704,0.0403919,0.00819013,0.632186
2023-01-13 09:28:06:944,0.0264038,-0.0336818,-0.995195,0.0385362,-0.00195105,0.579439
2023-01-13 09:28:07:238,-0.0145881,-0.0701194,-0.992421,0.0555758,-0.029186,0.51261
2023-01-13 09:28:07:525,-0.0969089,-0.0422872,-0.989532,0.0532867,-0.0686449,0.393969
2023-01-13 09:28:07:772,-0.0576643,-0.0658017,-0.972774,0.0572997,-0.0502525,0.349415
2023-01-13 09:28:08:27,-0.0316901,-0.0667894,-0.989333,0.0664261,-0.0539636,0.425631
2023-01-13 09:28:08:280,-0.0361142,-0.0689602,-1.01257,0.0661432,-0.0516559,0.474642
2023-01-13 09:28:08:578,-0.0289574,-0.079728,-0.99374,0.0710985,-0.0407834,0.524011
2023-01-13 09:28:08:895,-0.0558147,-0.0815896,-0.997078,0.0786799,-0.0437514,0.512149
2023-01-13 09:28:09:186,-0.0312067,-0.0700949,-0.996784,0.0740255,-0.0378292,0.521143
2023-01-13 09:28:09:435,-0.037611,-0.0640556,-0.994541,0.0692721,-0.0359184,0.526237
2023-01-13 09:28:09:702,-0.0408973,-0.0595511,-0.998968,0.0635667,-0.0353976,0.52718
2023-01-13 09:28:09:938,-0.022904,-0.0584776,-0.999773,0.0613475,-0.0310504,0.529159
2023-01-13 09:28:10:180,-0.0300272,-0.0649241,-1.00047,0.0627468,-0.0324911,0.517163
2023-01-13 09:28:10:428,-0.0406255,-0.0608033,-0.997455,0.0615902,-0.0370507,0.512288
2023-01-13 09:28:10:670,-0.0388073,-0.0606049,-0.998926,0.0612699,-0.0374208,0.516296
2023-01-13 09:28:10:973,-0.0330645,-0.062225,-0.995045,0.0624742,-0.0353581,0.523555
2023-01-13 09:28:11:280,-0.0297199,-0.0621628,-1.00093,0.0604594,-0.0340665,0.526134
2023-01-13 09:28:11:593,-0.0324782,-0.0610359,-0.997881,0.0601884,-0.0343497,0.526974
2023-01-13 09:28:11:853,-0.0351326,-0.0580492,-1.00032,0.0605171,-0.0342049,0.52915
2023-01-13 09:28:12:94,-0.0355214,-0.0616344,-1.00052,0.0612097,-0.0329302,0.529359
2023-01-13 09:28:12:331,-0.0305532,-0.0647182,-0.998178,0.0610423,-0.0324039,0.530597
2023-01-13 09:28:12:641,-0.0308607,-0.0546141,-0.998077,0.0589765,-0.0327074,0.531595
2023-01-13 09:28:12:889,-0.0378337,-0.0596114,-0.999619,0.0596285,-0.0337869,0.531528
2023-01-13 09:28:13:139,-0.0290721,-0.0586321,-0.999311,0.0582659,-0.0320604,0.534248
2023-01-13 09:28:13:451,-0.0263857,-0.0553523,-0.999504,0.0566686,-0.0316888,0.53451
2023-01-13 09:28:13:766,-0.0343028,-0.0575418,-0.99768,0.0552236,-0.0334017,0.533139
2023-01-13 09:28:14:72,-0.0334956,-0.0490392,-0.997892,0.0524503,-0.0330204,0.533544
2023-01-13 09:28:14:350,-0.0347361,-0.0522295,-0.9973,0.0536629,-0.0340426,0.532678
2023-01-13 09:28:14:608,-0.0351572,-0.0586713,-0.999875,0.0559883,-0.0347566,0.531995
2023-01-13 09:28:14:861,-0.0374441,-0.0556481,-1.00017,0.0551057,-0.0365742,0.529125
2023-01-13 09:28:15:110,-0.0402416,-0.0541875,-0.999941,0.0545577,-0.0378089,0.524736
2023-01-13 09:28:15:362,-0.0428824,-0.0598491,-0.998834,0.0557097,-0.0393296,0.522749
2023-01-13 09:28:15:676,-0.0347855,-0.0579998,-1.00343,0.0528937,-0.0393805,0.523329
2023-01-13 09:28:16:0,-0.0556995,-0.0353493,-0.992393,0.0402655,-0.0356744,0.49124
2023-01-13 09:28:16:315,0.0378453,-0.0326964,-1.02117,0.0385689,-0.00755721,0.422162
2023-01-13 09:28:16:632,0.030249,-0.046201,-1.00413,0.0493431,-0.00660718,0.336841
2023-01-13 09:28:16:896,-0.061965,-0.0643566,-0.992896,0.0651576,-0.0336639,0.240414
2023-01-13 09:28:17:149,-0.0504113,-0.0742217,-0.993917,0.0649276,-0.0481767,0.162653
2023-01-13 09:28:17:413,-0.0947316,-0.100683,-0.99897,0.0842216,-0.0694363,0.167723
2023-01-13 09:28:17:662,-0.0630549,-0.0734086,-0.986985,0.0771809,-0.0726234,0.229885
2023-01-13 09:28:17:908,-0.0813137,-0.0805196,-0.99944,0.0805769,-0.0709058,0.222309
2023-01-13 09:28:18:161,-0.0269566,-0.0858001,-0.994656,0.0815443,-0.0737826,0.21684
2023-01-13 09:28:18:484,-0.0863628,-0.0481523,-0.991186,0.0540853,-0.0514102,-0.0247127
2023-01-13 09:28:18:849,-0.0445448,-0.0305593,-0.991295,0.0307184,-0.0456469,-0.0445622
2023-01-13 09:28:19:175,-0.0769264,-0.0521048,-1.01819,0.0340019,-0.062416,0.00134571
2023-01-13 09:28:19:444,-0.0558074,-0.0148077,-0.990681,0.0192779,-0.0604573,0.0557363
2023-01-13 09:28:19:676,-0.0505591,-0.00487848,-0.995092,0.018822,-0.0578211,0.0775701
2023-01-13 09:28:19:907,-0.0619945,-0.0463582,-1.01504,0.0292594,-0.0588853,0.0835362
2023-01-13 09:28:20:218,-0.0874809,-0.0134178,-0.987534,0.0179667,-0.0645155,0.100039
2023-01-13 09:28:20:492,-0.0585922,0.0173001,-0.985997,0.00512729,-0.0631212,0.153344
2023-01-13 09:28:20:735,-0.0648851,-0.0264166,-1.01298,0.0178677,-0.0675466,0.219152
2023-01-13 09:28:21:26,-0.0695049,-0.0366641,-0.998152,0.0270771,-0.0651717,0.304161
2023-01-13 09:28:21:319,-0.0380646,-0.0152338,-0.992446,0.0235811,-0.058571,0.338265
2023-01-13 09:28:21:624,-0.0468692,-0.0181314,-1.00116,0.0147847,-0.0566703,0.350368
2023-01-13 09:28:21:918,-0.0609739,-0.0134804,-0.99453,0.0167074,-0.0576429,0.35438
2023-01-13 09:28:22:159,-0.0662202,-0.0148353,-0.995934,0.0148565,-0.0567303,0.350859
2023-01-13 09:28:22:397,-0.0396579,-0.00740301,-0.996877,0.014725,-0.056416,0.346851
2023-01-13 09:28:22:644,-0.0639828,-0.0111193,-0.998886,0.0134303,-0.0597857,0.325872
2023-01-13 09:28:22:874,-0.0701171,-0.0162951,-0.999267,0.0145144,-0.0641435,0.316298
2023-01-13 09:28:23:111,-0.0586481,-0.0182989,-1.0083,0.0193208,-0.0626777,0.31627
2023-01-13 09:28:23:403,-0.0427321,-0.0361047,-0.98397,0.0295831,-0.0497245,0.315177
2023-01-13 09:28:23:708,-0.0668913,-0.00830265,-0.995864,0.0201529,-0.0653016,0.353228
2023-01-13 09:28:24:12,-0.0680394,-0.0237749,-0.989844,0.0277978,-0.0639144,0.42521
2023-01-13 09:28:24:310,-0.0476603,-0.0358991,-0.996806,0.0377866,-0.0495084,0.488085
2023-01-13 09:28:24:620,-0.0466477,-0.051487,-0.99631,0.0516056,-0.047296,0.500891
2023-01-13 09:28:24:913,-0.0457184,-0.0518273,-0.994869,0.0534297,-0.0425837,0.495627
2023-01-13 09:28:25:157,-0.0456021,-0.0510943,-0.995304,0.0547503,-0.0403689,0.492312
2023-01-13 09:28:25:405,-0.0349126,-0.0592407,-1.00044,0.0575459,-0.0356995,0.492221
2023-01-13 09:28:25:655,-0.0253511,-0.0552704,-0.996977,0.0557309,-0.0309674,0.493207
2023-01-13 09:28:25:961,-0.0198936,-0.0539396,-0.997087,0.0539985,-0.0288649,0.492677
2023-01-13 09:28:26:271,-0.0215904,-0.0447723,-0.997842,0.0493341,-0.0272245,0.478165
2023-01-13 09:28:26:575,-0.0414021,-0.0420319,-0.997814,0.046581,-0.0298349,0.473556
2023-01-13 09:28:26:844,-0.0300991,-0.0467336,-0.999258,0.0479787,-0.0303776,0.477401
2023-01-13 09:28:27:88,-0.0264546,-0.0525859,-1.00091,0.0499514,-0.0270239,0.481225
2023-01-13 09:28:27:332,-0.0177166,-0.0510931,-0.996683,0.048547,-0.0236264,0.485527
2023-01-13 09:28:27:588,-0.024348,-0.0475744,-1.00039,0.0462391,-0.021957,0.488216
2023-01-13 09:28:27:876,-0.0231471,-0.04541,-1.00359,0.0432053,-0.0202174,0.486492
2023-01-13 09:28:28:113,-0.016062,-0.0421377,-0.996097,0.043582,-0.0217433,0.485987
2023-01-13 09:28:28:397,-0.0239157,-0.0378784,-0.998123,0.0418104,-0.0234243,0.484132
2023-01-13 09:28:28:731,-0.0236352,-0.0359686,-0.992865,0.0409427,-0.0234715,0.48462
2023-01-13 09:28:29:53,-0.0241107,-0.0405082,-1.00006,0.040468,-0.0235751,0.483931
2023-01-13 09:28:29:332,-0.0224423,-0.0377187,-1.00074,0.0395058,-0.0236081,0.483449
2023-01-13 09:28:29:594,-0.0269789,-0.0414152,-1.00139,0.0384727,-0.0237691,0.482707
2023-01-13 09:28:29:835,-0.0223143,-0.0347619,-0.999783,0.0364827,-0.0239918,0.481586
2023-01-13 09:28:30:81,-0.0281276,-0.0381654,-0.995267,0.0379857,-0.0241902,0.482282
2023-01-13 09:28:30:330,-0.0167928,-0.0381534,-1.00396,0.0374095,-0.0212331,0.484741
2023-01-13 09:28:30:594,-0.0109371,-0.0436854,-1.00244,0.0370532,-0.0197706,0.484334
2023-01-13 09:28:30:925,-0.0140108,-0.0322596,-0.997824,0.0310662,-0.0203779,0.480425
2023-01-13 09:28:31:244,-0.018764,-0.02756,-0.999625,0.0308366,-0.0232742,0.478759
2023-01-13 09:28:31:565,-0.0411985,-0.0293224,-0.992945,0.0331909,-0.0286443,0.474904
2023-01-13 09:28:31:837,-0.0394967,-0.0302186,-0.998895,0.0339426,-0.0314774,0.474828
2023-01-13 09:28:32:95,-0.0285415,-0.0471741,-1.00442,0.0406972,-0.0320159,0.477121
