Timestamp,Acceleration_x,Acceleration_y,Acceleration_z,roll,pitch,yaw
2023-01-13 10:08:53:324,0.0385092,-0.269718,-0.96676,0.277154,0.047713,0.764806
2023-01-13 10:08:53:332,0.0352228,-0.270151,-0.965432,0.277287,0.0464228,0.764706
2023-01-13 10:08:53:342,0.0363272,-0.268663,-0.962355,0.277333,0.0453338,0.764566
2023-01-13 10:08:53:353,0.0370254,-0.269574,-0.958605,0.277442,0.0443902,0.764478
2023-01-13 10:08:53:363,0.0402175,-0.273451,-0.959737,0.277486,0.0435476,0.764311
2023-01-13 10:08:53:373,0.0433226,-0.275546,-0.962218,0.277552,0.0427185,0.764183
2023-01-13 10:08:53:383,0.0413257,-0.278927,-0.966578,0.277627,0.041853,0.764065
2023-01-13 10:08:53:393,0.0378941,-0.281656,-0.971282,0.27769,0.040994,0.763941
2023-01-13 10:08:53:403,0.0380877,-0.281528,-0.971658,0.277689,0.0401377,0.76379
2023-01-13 10:08:53:413,0.0374511,-0.279317,-0.969244,0.277549,0.0393233,0.763705
2023-01-13 10:08:53:423,0.0376107,-0.278259,-0.966774,0.277351,0.0384519,0.763623
2023-01-13 10:08:53:433,0.0356322,-0.278919,-0.966245,0.27716,0.037502,0.763577
2023-01-13 10:08:53:443,0.0390466,-0.277328,-0.963746,0.276916,0.0366095,0.763502
2023-01-13 10:08:53:453,0.0419135,-0.2772,-0.963256,0.276675,0.0356494,0.763411
2023-01-13 10:08:53:463,0.0422214,-0.276382,-0.966468,0.276437,0.0345991,0.763264
2023-01-13 10:08:53:473,0.0377288,-0.278291,-0.970834,0.2762,0.0335197,0.763028
2023-01-13 10:08:53:483,0.0318131,-0.276407,-0.970151,0.275907,0.0324778,0.762779
2023-01-13 10:08:53:493,0.0273819,-0.274507,-0.970703,0.275539,0.0314924,0.762426
2023-01-13 10:08:53:503,0.0221912,-0.271541,-0.968734,0.275148,0.0305939,0.762046
2023-01-13 10:08:53:513,0.018115,-0.26902,-0.966237,0.274746,0.0297859,0.761654
2023-01-13 10:08:53:523,0.0165637,-0.270307,-0.962877,0.274337,0.0290713,0.761275
2023-01-13 10:08:53:533,0.0187472,-0.268831,-0.959277,0.273905,0.0285813,0.760895
2023-01-13 10:08:53:543,0.0223816,-0.268435,-0.958026,0.273524,0.0281413,0.760506
2023-01-13 10:08:53:553,0.0215011,-0.268298,-0.95935,0.273212,0.0276462,0.760067
2023-01-13 10:08:53:563,0.0202482,-0.269195,-0.963101,0.272934,0.027204,0.759637
2023-01-13 10:08:53:573,0.018824,-0.26873,-0.962168,0.272704,0.0268578,0.759282
2023-01-13 10:08:53:583,0.015949,-0.265819,-0.960058,0.272451,0.0264458,0.758918
2023-01-13 10:08:53:593,0.0163807,-0.263245,-0.958286,0.272135,0.026114,0.758579
2023-01-13 10:08:53:603,0.0169005,-0.263102,-0.958947,0.271866,0.0257589,0.758211
2023-01-13 10:08:53:613,0.0185689,-0.26641,-0.962517,0.271626,0.0253798,0.757857
2023-01-13 10:08:53:623,0.019758,-0.266246,-0.964749,0.271396,0.0250349,0.757497
2023-01-13 10:08:53:633,0.0166266,-0.264787,-0.965279,0.271103,0.0246421,0.757126
2023-01-13 10:08:53:643,0.0137254,-0.262948,-0.964256,0.270878,0.0243098,0.756804
2023-01-13 10:08:53:653,0.00940474,-0.262139,-0.964099,0.270654,0.0239978,0.756446
2023-01-13 10:08:53:663,0.00862548,-0.262519,-0.965505,0.270406,0.0237879,0.756187
2023-01-13 10:08:53:673,0.00960436,-0.263093,-0.966804,0.270203,0.0236239,0.755884
2023-01-13 10:08:53:682,0.0120691,-0.265395,-0.968392,0.269946,0.0235444,0.75564
2023-01-13 10:08:53:692,0.0166878,-0.267428,-0.970326,0.269725,0.0236642,0.755435
2023-01-13 10:08:53:702,0.0195299,-0.266009,-0.969949,0.269471,0.0238243,0.755225
2023-01-13 10:08:53:713,0.0216564,-0.267729,-0.973499,0.269228,0.0240077,0.754978
2023-01-13 10:08:53:723,0.0233347,-0.266579,-0.9731,0.268902,0.0241785,0.754706
2023-01-13 10:08:53:733,0.0238704,-0.265111,-0.971515,0.268506,0.024434,0.754429
2023-01-13 10:08:53:743,0.0272367,-0.262167,-0.966554,0.268055,0.0247301,0.754104
