Timestamp,Acceleration_x,Acceleration_y,Acceleration_z,roll,pitch,yaw
2023-01-13 09:52:50:839,-0.060538,-0.159797,-0.98411,0.158758,-0.0557158,0.868066
2023-01-13 09:52:50:847,-0.0539741,-0.160275,-0.989236,0.158644,-0.0554979,0.868291
2023-01-13 09:52:50:857,-0.0512247,-0.159321,-0.991862,0.158426,-0.0552695,0.868465
2023-01-13 09:52:50:867,-0.0518029,-0.158733,-0.994003,0.158201,-0.0549905,0.868478
2023-01-13 09:52:50:877,-0.0515506,-0.157525,-0.993333,0.157947,-0.0547567,0.868475
2023-01-13 09:52:50:887,-0.0510508,-0.155252,-0.990394,0.15761,-0.0544516,0.868374
2023-01-13 09:52:50:897,-0.0513589,-0.151469,-0.986699,0.157217,-0.0540875,0.868281
2023-01-13 09:52:50:907,-0.0512696,-0.151222,-0.986502,0.156863,-0.0536992,0.868144
2023-01-13 09:52:50:917,-0.0512272,-0.152185,-0.989405,0.156547,-0.053389,0.868016
2023-01-13 09:52:50:927,-0.0514209,-0.152117,-0.991109,0.156242,-0.0531288,0.867824
2023-01-13 09:52:50:937,-0.0525516,-0.14929,-0.987352,0.155853,-0.0528761,0.86773
2023-01-13 09:52:50:947,-0.0529944,-0.145459,-0.980741,0.155459,-0.0527326,0.867678
2023-01-13 09:52:50:957,-0.052841,-0.142619,-0.974182,0.15513,-0.0526191,0.867652
2023-01-13 09:52:50:967,-0.0542645,-0.142006,-0.971984,0.154891,-0.0525859,0.867734
2023-01-13 09:52:50:977,-0.0564612,-0.143268,-0.974895,0.154855,-0.0526727,0.867839
2023-01-13 09:52:50:987,-0.0559809,-0.14763,-0.982491,0.154928,-0.0526861,0.867985
2023-01-13 09:52:50:997,-0.0540174,-0.153976,-0.989783,0.155061,-0.0526985,0.868143
2023-01-13 09:52:51:7,-0.05385,-0.155942,-0.993278,0.15517,-0.0526386,0.868321
2023-01-13 09:52:51:17,-0.0529796,-0.155274,-0.991527,0.155282,-0.0526185,0.86855
2023-01-13 09:52:51:27,-0.0506929,-0.154419,-0.990056,0.1553,-0.0525815,0.868682
2023-01-13 09:52:51:37,-0.0497504,-0.15218,-0.986185,0.15537,-0.0524317,0.868834
2023-01-13 09:52:51:47,-0.0486497,-0.151486,-0.985405,0.155321,-0.0523184,0.868905
2023-01-13 09:52:51:57,-0.0481682,-0.154117,-0.988205,0.155391,-0.0521848,0.869003
2023-01-13 09:52:51:67,-0.0485331,-0.157136,-0.992409,0.15552,-0.0519871,0.869063
2023-01-13 09:52:51:77,-0.0482114,-0.158263,-0.995396,0.155596,-0.0518124,0.869094
2023-01-13 09:52:51:87,-0.0462918,-0.157308,-0.995777,0.155625,-0.0516968,0.869095
2023-01-13 09:52:51:97,-0.0446954,-0.154824,-0.991964,0.155591,-0.0516002,0.869112
2023-01-13 09:52:51:107,-0.0446135,-0.152049,-0.989717,0.155561,-0.0515635,0.869144
2023-01-13 09:52:51:117,-0.0446284,-0.153959,-0.993376,0.155454,-0.0515999,0.869112
2023-01-13 09:52:51:127,-0.0458124,-0.155493,-0.994954,0.155446,-0.0515626,0.86905
2023-01-13 09:52:51:137,-0.0468731,-0.153213,-0.989854,0.155315,-0.0515824,0.868977
2023-01-13 09:52:51:147,-0.0471005,-0.149999,-0.985727,0.15509,-0.0516112,0.86883
2023-01-13 09:52:51:157,-0.0479195,-0.147289,-0.985475,0.154919,-0.0516497,0.868649
2023-01-13 09:52:51:167,-0.0488683,-0.149165,-0.989886,0.154742,-0.0516518,0.868419
2023-01-13 09:52:51:177,-0.0532879,-0.150802,-0.991869,0.1547,-0.0517134,0.868206
2023-01-13 09:52:51:187,-0.0575292,-0.150407,-0.991405,0.154613,-0.0517337,0.867934
2023-01-13 09:52:51:197,-0.0584415,-0.153019,-0.992648,0.15456,-0.0516616,0.867706
2023-01-13 09:52:51:207,-0.0558834,-0.15746,-0.998939,0.154497,-0.051494,0.867513
2023-01-13 09:52:51:217,-0.0508219,-0.16162,-1.00618,0.154453,-0.0512807,0.867426
2023-01-13 09:52:51:227,-0.0452597,-0.165359,-1.00968,0.154332,-0.0509766,0.867387
2023-01-13 09:52:51:237,-0.0431504,-0.168237,-1.00542,0.154044,-0.0507749,0.867416
2023-01-13 09:52:51:247,-0.0414764,-0.168668,-0.995737,0.153643,-0.0506248,0.867467
2023-01-13 09:52:51:257,-0.0378955,-0.165203,-0.987883,0.153149,-0.050496,0.867521
2023-01-13 09:52:51:267,-0.0368816,-0.161772,-0.98546,0.152541,-0.0504347,0.867515
2023-01-13 09:52:51:277,-0.037184,-0.16113,-0.989161,0.151975,-0.0504786,0.867477
2023-01-13 09:52:51:287,-0.0387473,-0.163913,-0.99882,0.151419,-0.0505601,0.867418
2023-01-13 09:52:51:297,-0.0411578,-0.16487,-1.00388,0.150798,-0.0507326,0.867199
2023-01-13 09:52:51:307,-0.0441999,-0.160966,-1.00241,0.15003,-0.0509396,0.866946
2023-01-13 09:52:51:317,-0.048925,-0.159819,-1.00341,0.149128,-0.0511087,0.866609
2023-01-13 09:52:51:327,-0.0507228,-0.157802,-1.00279,0.148082,-0.0513007,0.86633
2023-01-13 09:52:51:337,-0.0462076,-0.150503,-0.994237,0.146944,-0.0514868,0.86613
2023-01-13 09:52:51:347,-0.0440106,-0.144672,-0.986206,0.145664,-0.0516103,0.865841
2023-01-13 09:52:51:357,-0.0500145,-0.1437,-0.984955,0.144496,-0.0517751,0.865433
2023-01-13 09:52:51:367,-0.052992,-0.145298,-0.989462,0.143374,-0.0519561,0.865024
2023-01-13 09:52:51:377,-0.0499851,-0.145047,-0.992062,0.142314,-0.0521412,0.864731
2023-01-13 09:52:51:387,-0.0490064,-0.140278,-0.990018,0.14117,-0.0523046,0.864449
2023-01-13 09:52:51:397,-0.0532274,-0.137597,-0.985889,0.140049,-0.0525571,0.864072
2023-01-13 09:52:51:407,-0.0594033,-0.133166,-0.98168,0.138911,-0.0529299,0.863754
2023-01-13 09:52:51:417,-0.0628646,-0.130753,-0.98159,0.137855,-0.0533666,0.863475
2023-01-13 09:52:51:427,-0.0646559,-0.129093,-0.98038,0.136825,-0.0537116,0.86325
2023-01-13 09:52:51:437,-0.0662877,-0.126597,-0.978097,0.135927,-0.0541039,0.863071
2023-01-13 09:52:51:447,-0.0660971,-0.124669,-0.977355,0.135099,-0.0545871,0.86301
2023-01-13 09:52:51:457,-0.0656504,-0.126001,-0.981444,0.134392,-0.0550364,0.862992
2023-01-13 09:52:51:467,-0.0661785,-0.127634,-0.983104,0.133794,-0.0555542,0.863052
2023-01-13 09:52:51:477,-0.0689048,-0.125684,-0.979441,0.133241,-0.0561085,0.863078
2023-01-13 09:52:51:487,-0.0710616,-0.123115,-0.978255,0.1327,-0.0567221,0.863175
2023-01-13 09:52:51:497,-0.0719729,-0.123602,-0.979792,0.132276,-0.0573101,0.863334
2023-01-13 09:52:51:507,-0.0718707,-0.124118,-0.983079,0.13194,-0.0578173,0.863514
2023-01-13 09:52:51:517,-0.0699784,-0.121824,-0.982762,0.13165,-0.0582772,0.863769
2023-01-13 09:52:51:527,-0.0692188,-0.120444,-0.982007,0.131287,-0.0586007,0.863945
2023-01-13 09:52:51:537,-0.0685365,-0.120171,-0.982768,0.131033,-0.0588846,0.864142
2023-01-13 09:52:51:547,-0.0671242,-0.120796,-0.984279,0.130886,-0.0591229,0.864336
2023-01-13 09:52:51:557,-0.0678034,-0.121338,-0.984509,0.130784,-0.0592979,0.864485
2023-01-13 09:52:51:567,-0.0691421,-0.120335,-0.98378,0.130804,-0.0595072,0.864621
2023-01-13 09:52:51:577,-0.0707097,-0.121291,-0.984587,0.130809,-0.05965,0.864691
2023-01-13 09:52:51:587,-0.0726226,-0.121194,-0.985685,0.130889,-0.0598627,0.86488
2023-01-13 09:52:51:597,-0.0738237,-0.122598,-0.986212,0.131004,-0.0599873,0.865163
2023-01-13 09:52:51:607,-0.0735369,-0.125965,-0.988004,0.131205,-0.0601302,0.865484
2023-01-13 09:52:51:617,-0.070742,-0.128192,-0.991591,0.131478,-0.0602236,0.865967
2023-01-13 09:52:51:627,-0.0659165,-0.129779,-0.992876,0.131748,-0.0603253,0.8665
2023-01-13 09:52:51:637,-0.0614741,-0.130046,-0.991645,0.131914,-0.0604275,0.867103
2023-01-13 09:52:51:647,-0.0599997,-0.128468,-0.991859,0.132099,-0.0605176,0.867766
2023-01-13 09:52:51:657,-0.0625555,-0.128975,-0.992757,0.132247,-0.0607737,0.868434
2023-01-13 09:52:51:667,-0.0643448,-0.128292,-0.991056,0.132416,-0.0610684,0.86917
2023-01-13 09:52:51:677,-0.0644906,-0.129889,-0.993282,0.132599,-0.0614594,0.870027
2023-01-13 09:52:51:687,-0.067797,-0.133677,-0.995308,0.132748,-0.0619217,0.870994
2023-01-13 09:52:51:697,-0.0696274,-0.133587,-0.995271,0.132946,-0.0623613,0.871973
2023-01-13 09:52:51:707,-0.0711724,-0.132881,-0.994861,0.133091,-0.062821,0.873069
2023-01-13 09:52:51:717,-0.0706442,-0.133125,-0.993599,0.13328,-0.0633219,0.874185
2023-01-13 09:52:51:727,-0.0698051,-0.13537,-0.995177,0.133441,-0.0637334,0.875315
2023-01-13 09:52:51:737,-0.0672302,-0.134522,-0.994671,0.133529,-0.0641146,0.876586
2023-01-13 09:52:51:747,-0.0658414,-0.13298,-0.993086,0.133601,-0.0644603,0.877843
2023-01-13 09:52:51:757,-0.0670098,-0.131115,-0.992007,0.133636,-0.0648647,0.879084
2023-01-13 09:52:51:767,-0.0676153,-0.130956,-0.989334,0.133714,-0.065287,0.880416
2023-01-13 09:52:51:777,-0.06813,-0.129297,-0.986497,0.133778,-0.0657154,0.881656
2023-01-13 09:52:51:787,-0.0667203,-0.127594,-0.983117,0.133905,-0.0660475,0.88293
2023-01-13 09:52:51:797,-0.0651232,-0.128336,-0.979726,0.13421,-0.066419,0.884126
2023-01-13 09:52:51:807,-0.0653168,-0.129401,-0.976738,0.134605,-0.0668379,0.885254
2023-01-13 09:52:51:817,-0.0656484,-0.130746,-0.976148,0.134963,-0.0672725,0.886389
2023-01-13 09:52:51:827,-0.0688075,-0.13274,-0.979914,0.135483,-0.0677266,0.88752
2023-01-13 09:52:51:837,-0.0728769,-0.134818,-0.985004,0.136084,-0.0682159,0.888614
2023-01-13 09:52:51:847,-0.0758114,-0.137329,-0.991097,0.136698,-0.0687486,0.889711
2023-01-13 09:52:51:857,-0.0799073,-0.140256,-0.996977,0.13733,-0.0693052,0.890828
2023-01-13 09:52:51:867,-0.0831001,-0.141511,-1.00039,0.137996,-0.0697825,0.892085
2023-01-13 09:52:51:877,-0.0825431,-0.144584,-1.00534,0.138496,-0.0701995,0.893373
2023-01-13 09:52:51:887,-0.0796329,-0.147535,-1.00943,0.138991,-0.0704397,0.894759
2023-01-13 09:52:51:897,-0.0745159,-0.149859,-1.01199,0.139292,-0.0705975,0.896239
2023-01-13 09:52:51:907,-0.0668624,-0.150138,-1.01039,0.139448,-0.0706347,0.8977
2023-01-13 09:52:51:917,-0.0623379,-0.147193,-1.00428,0.13938,-0.0706236,0.899235
2023-01-13 09:52:51:927,-0.0596378,-0.143961,-0.996996,0.139179,-0.0706031,0.900634
2023-01-13 09:52:51:937,-0.0583269,-0.140249,-0.993054,0.138887,-0.0705852,0.901973
2023-01-13 09:52:51:947,-0.05612,-0.139029,-0.991004,0.138576,-0.0705654,0.903184
2023-01-13 09:52:51:957,-0.0553904,-0.13707,-0.990566,0.138243,-0.0705027,0.904362
2023-01-13 09:52:51:967,-0.0546322,-0.13435,-0.990041,0.13789,-0.0704826,0.905415
2023-01-13 09:52:51:977,-0.0542283,-0.13435,-0.994244,0.1375,-0.0704047,0.906245
2023-01-13 09:52:51:987,-0.0542279,-0.136921,-1.00084,0.137077,-0.0702927,0.907023
2023-01-13 09:52:51:997,-0.0498966,-0.135926,-1.00254,0.136623,-0.0701696,0.907679
2023-01-13 09:52:52:7,-0.0474859,-0.13022,-0.999042,0.136,-0.0699402,0.90813
2023-01-13 09:52:52:17,-0.0466074,-0.125468,-0.993891,0.135253,-0.0696752,0.908436
2023-01-13 09:52:52:27,-0.0479111,-0.119906,-0.985557,0.134467,-0.0694688,0.908573
2023-01-13 09:52:52:37,-0.0511174,-0.115794,-0.978373,0.133766,-0.0692538,0.908511
2023-01-13 09:52:52:47,-0.0544105,-0.114309,-0.978569,0.133182,-0.0690782,0.908327
2023-01-13 09:52:52:57,-0.0576282,-0.116073,-0.980158,0.132723,-0.0689429,0.908081
2023-01-13 09:52:52:67,-0.0588716,-0.116686,-0.977906,0.132381,-0.0688813,0.907788
2023-01-13 09:52:52:77,-0.0645528,-0.117528,-0.976418,0.132205,-0.068976,0.907359
2023-01-13 09:52:52:87,-0.0721197,-0.120529,-0.977914,0.132186,-0.0691849,0.907003
2023-01-13 09:52:52:97,-0.0764551,-0.122091,-0.982904,0.132243,-0.0693505,0.906705
2023-01-13 09:52:52:107,-0.0761475,-0.121923,-0.985534,0.132325,-0.0694003,0.906517
2023-01-13 09:52:52:117,-0.0739784,-0.120529,-0.986259,0.132451,-0.0695558,0.90634
2023-01-13 09:52:52:127,-0.0736724,-0.120658,-0.987131,0.132635,-0.0696646,0.906184
2023-01-13 09:52:52:137,-0.0751493,-0.122791,-0.988902,0.132859,-0.0697371,0.906104
2023-01-13 09:52:52:147,-0.075197,-0.124965,-0.991747,0.133136,-0.0697471,0.906022
2023-01-13 09:52:52:157,-0.0743082,-0.126921,-0.992998,0.133454,-0.0697314,0.905944
2023-01-13 09:52:52:167,-0.072594,-0.128042,-0.994161,0.133747,-0.0696518,0.905913
2023-01-13 09:52:52:177,-0.069487,-0.130341,-0.99433,0.134092,-0.0695062,0.905911
2023-01-13 09:52:52:187,-0.0661106,-0.132081,-0.996369,0.134347,-0.0692939,0.905835
2023-01-13 09:52:52:197,-0.0637751,-0.134859,-0.999204,0.13466,-0.0690399,0.905734
2023-01-13 09:52:52:207,-0.0597147,-0.134308,-1.00124,0.1348,-0.0687265,0.905549
2023-01-13 09:52:52:217,-0.0553887,-0.131499,-1.00107,0.134878,-0.0683268,0.905351
2023-01-13 09:52:52:227,-0.0542281,-0.128777,-0.998265,0.134759,-0.067872,0.90499
2023-01-13 09:52:52:237,-0.0535031,-0.12516,-0.997033,0.134621,-0.0674113,0.904554
2023-01-13 09:52:52:247,-0.0518674,-0.122893,-0.99697,0.134379,-0.0670402,0.903975
2023-01-13 09:52:52:257,-0.0485106,-0.122462,-0.99656,0.13413,-0.0666411,0.903256
2023-01-13 09:52:52:267,-0.0496944,-0.122308,-0.996681,0.133825,-0.0662345,0.902431
2023-01-13 09:52:52:277,-0.05126,-0.122439,-0.995471,0.133566,-0.0658817,0.901471
2023-01-13 09:52:52:287,-0.0504282,-0.122765,-0.995363,0.133253,-0.0654994,0.900477
2023-01-13 09:52:52:297,-0.0494227,-0.120997,-0.994321,0.13292,-0.0651483,0.899364
2023-01-13 09:52:52:307,-0.0503635,-0.11989,-0.988554,0.132571,-0.0647862,0.898107
2023-01-13 09:52:52:317,-0.0511642,-0.118213,-0.982211,0.132205,-0.0644979,0.896772
2023-01-13 09:52:52:327,-0.053659,-0.118615,-0.977976,0.131906,-0.0643371,0.895333
2023-01-13 09:52:52:337,-0.0603126,-0.120627,-0.972769,0.131788,-0.0642521,0.893782
2023-01-13 09:52:52:347,-0.067077,-0.125552,-0.969284,0.131798,-0.0641492,0.892211
2023-01-13 09:52:52:357,-0.0706366,-0.1318,-0.968736,0.132006,-0.0640554,0.890623
2023-01-13 09:52:52:367,-0.069597,-0.138018,-0.971002,0.132374,-0.0639361,0.889092
2023-01-13 09:52:52:377,-0.0664814,-0.145111,-0.978674,0.132982,-0.0636868,0.887643
2023-01-13 09:52:52:386,-0.0680348,-0.152378,-0.987375,0.13376,-0.0634222,0.886204
