Timestamp,Acceleration_x,Acceleration_y,Acceleration_z,roll,pitch,yaw
2023-03-10 21:24:14:1,-1.90713,0.12962,-9.56357,-0.74945,-11.2671,92.7503
2023-03-10 21:24:14:9,-1.90301,0.0905068,-9.54223,-0.714657,-11.3228,92.6593
2023-03-10 21:24:14:19,-1.8923,0.0959344,-9.525,-0.680267,-11.3772,92.5677
2023-03-10 21:24:14:29,-1.89995,0.101645,-9.5114,-0.651241,-11.4274,92.4859
2023-03-10 21:24:14:39,-1.92932,0.101305,-9.51239,-0.623288,-11.4741,92.4104
2023-03-10 21:24:14:49,-1.91492,0.133659,-9.51717,-0.598514,-11.5177,92.3395
2023-03-10 21:24:14:59,-1.88829,0.122867,-9.52558,-0.578056,-11.5565,92.2756
2023-03-10 21:24:14:69,-1.88823,0.107825,-9.55237,-0.556031,-11.5934,92.2192
2023-03-10 21:24:14:79,-1.90784,0.128252,-9.54367,-0.540106,-11.6325,92.1718
2023-03-10 21:24:14:89,-1.93637,0.127948,-9.51935,-0.522969,-11.6701,92.135
2023-03-10 21:24:14:99,-1.9647,0.142027,-9.52067,-0.511157,-11.7101,92.1086
2023-03-10 21:24:14:109,-2.00444,0.16677,-9.52256,-0.504289,-11.7442,92.0887
2023-03-10 21:24:14:119,-2.0346,0.183632,-9.50773,-0.499443,-11.779,92.0755
2023-03-10 21:24:14:129,-2.05702,0.161053,-9.4922,-0.49041,-11.8127,92.0619
2023-03-10 21:24:14:139,-2.10845,0.134778,-9.4865,-0.480005,-11.8485,92.049
2023-03-10 21:24:14:149,-2.16283,0.129478,-9.51512,-0.471814,-11.8898,92.0332
2023-03-10 21:24:14:159,-2.23289,0.138392,-9.55128,-0.467892,-11.9314,92.0186
2023-03-10 21:24:14:169,-2.25068,0.142872,-9.57231,-0.465492,-11.9731,92.0003
2023-03-10 21:24:14:179,-2.22389,0.136922,-9.56574,-0.456657,-12.0146,91.9723
2023-03-10 21:24:14:189,-2.21912,0.128484,-9.55771,-0.448974,-12.0569,91.9377
2023-03-10 21:24:14:199,-2.21936,0.141879,-9.55672,-0.443594,-12.1037,91.9038
2023-03-10 21:24:14:209,-2.19709,0.156487,-9.56669,-0.437437,-12.1462,91.8638
2023-03-10 21:24:14:219,-2.19845,0.137042,-9.56146,-0.429473,-12.1899,91.8227
2023-03-10 21:24:14:229,-2.18147,0.137551,-9.53794,-0.422413,-12.2313,91.7777
2023-03-10 21:24:14:239,-2.19241,0.122802,-9.51657,-0.413651,-12.2749,91.7368
2023-03-10 21:24:14:249,-2.22616,0.110328,-9.47915,-0.404641,-12.3161,91.6982
2023-03-10 21:24:14:259,-2.2651,0.132501,-9.44038,-0.39778,-12.3526,91.6613
2023-03-10 21:24:14:269,-2.31648,0.135309,-9.43637,-0.396971,-12.3883,91.6281
2023-03-10 21:24:14:279,-2.3292,0.118817,-9.45315,-0.394953,-12.4191,91.5929
2023-03-10 21:24:14:289,-2.31283,0.105792,-9.46908,-0.394196,-12.4469,91.5535
2023-03-10 21:24:14:299,-2.29028,0.0842167,-9.46126,-0.394465,-12.4678,91.5139
2023-03-10 21:24:14:309,-2.28254,0.0777134,-9.46316,-0.392204,-12.4895,91.474
2023-03-10 21:24:14:319,-2.26787,0.0724038,-9.49753,-0.390858,-12.4995,91.4334
2023-03-10 21:24:14:329,-2.2553,0.0967766,-9.54949,-0.392624,-12.5089,91.3936
2023-03-10 21:24:14:339,-2.22314,0.0951573,-9.57481,-0.394456,-12.5114,91.3536
2023-03-10 21:24:14:349,-2.18697,0.092353,-9.54474,-0.392133,-12.5064,91.3145
2023-03-10 21:24:14:359,-2.1489,0.0653804,-9.54143,-0.392761,-12.4955,91.2762
2023-03-10 21:24:14:369,-2.12862,0.0749122,-9.57464,-0.396424,-12.481,91.2412
2023-03-10 21:24:14:379,-2.09824,0.093693,-9.58422,-0.405977,-12.4625,91.2105
2023-03-10 21:24:14:389,-2.05312,0.0924905,-9.60741,-0.414962,-12.4386,91.1827
2023-03-10 21:24:14:399,-2.02618,0.0989278,-9.63662,-0.418742,-12.4126,91.1599
2023-03-10 21:24:14:409,-2.00545,0.120371,-9.67484,-0.425964,-12.3835,91.1413
2023-03-10 21:24:14:419,-1.98289,0.134377,-9.66914,-0.433271,-12.3503,91.132
2023-03-10 21:24:14:429,-1.94903,0.146915,-9.63523,-0.430536,-12.3135,91.122
2023-03-10 21:24:14:439,-1.9348,0.11802,-9.64043,-0.423123,-12.2759,91.1221
2023-03-10 21:24:14:449,-1.95181,0.113472,-9.63713,-0.41433,-12.2377,91.1224
2023-03-10 21:24:14:459,-1.97907,0.126198,-9.64828,-0.401868,-12.203,91.1346
2023-03-10 21:24:14:469,-2.00531,0.110761,-9.65296,-0.384694,-12.169,91.1489
2023-03-10 21:24:14:479,-2.00479,0.0815303,-9.6279,-0.367765,-12.1359,91.1598
2023-03-10 21:24:14:489,-1.97997,0.0452258,-9.58659,-0.345583,-12.1068,91.1707
2023-03-10 21:24:14:499,-1.97006,0.0233067,-9.55997,-0.324477,-12.0813,91.1795
2023-03-10 21:24:14:509,-1.96675,-0.00232383,-9.53666,-0.30186,-12.0564,91.1879
2023-03-10 21:24:14:519,-1.97895,-0.000925759,-9.51073,-0.282912,-12.0355,91.1951
2023-03-10 21:24:14:529,-1.96703,-0.0237911,-9.48266,-0.264286,-12.0098,91.2042
2023-03-10 21:24:14:539,-1.94313,-0.0671552,-9.44122,-0.245732,-11.982,91.2125
2023-03-10 21:24:14:549,-1.88632,-0.0791131,-9.42544,-0.231501,-11.9541,91.2164
2023-03-10 21:24:14:559,-1.83626,-0.0637339,-9.43018,-0.221613,-11.9237,91.2245
2023-03-10 21:24:14:569,-1.7742,-0.056563,-9.43947,-0.21932,-11.8945,91.2338
2023-03-10 21:24:14:579,-1.71436,-0.061135,-9.45337,-0.220707,-11.8667,91.2449
2023-03-10 21:24:14:589,-1.68308,-0.0461237,-9.46328,-0.230459,-11.8495,91.2604
2023-03-10 21:24:14:599,-1.68038,-0.0311682,-9.47815,-0.25118,-11.8321,91.2876
2023-03-10 21:24:14:609,-1.70793,-0.0192451,-9.49464,-0.275153,-11.8234,91.324
2023-03-10 21:24:14:619,-1.76981,-0.0019711,-9.51758,-0.305157,-11.8139,91.371
2023-03-10 21:24:14:629,-1.81065,0.0374584,-9.54811,-0.336451,-11.8091,91.4239
2023-03-10 21:24:14:639,-1.8183,0.0680037,-9.5783,-0.372275,-11.8049,91.4826
2023-03-10 21:24:14:649,-1.83929,0.0573474,-9.58711,-0.405817,-11.8043,91.5469
2023-03-10 21:24:14:659,-1.8584,0.0408499,-9.56297,-0.439485,-11.8074,91.6181
2023-03-10 21:24:14:669,-1.88234,0.0565146,-9.55753,-0.477238,-11.8126,91.6922
2023-03-10 21:24:14:679,-1.93152,0.0888663,-9.59044,-0.518924,-11.8191,91.7711
2023-03-10 21:24:14:689,-2.03212,0.159482,-9.63764,-0.559843,-11.8309,91.8494
2023-03-10 21:24:14:699,-2.11005,0.22228,-9.6825,-0.600099,-11.8428,91.9251
2023-03-10 21:24:14:709,-2.1292,0.246542,-9.68461,-0.634854,-11.8548,91.999
2023-03-10 21:24:14:719,-2.13231,0.250534,-9.66634,-0.662766,-11.8683,92.0637
2023-03-10 21:24:14:729,-2.1579,0.251982,-9.63321,-0.684831,-11.8919,92.1234
2023-03-10 21:24:14:739,-2.20936,0.242457,-9.59725,-0.703137,-11.918,92.1842
2023-03-10 21:24:14:749,-2.26672,0.254447,-9.59857,-0.724718,-11.9498,92.2414
2023-03-10 21:24:14:759,-2.2974,0.25882,-9.61199,-0.7427,-11.9843,92.2926
2023-03-10 21:24:14:769,-2.34713,0.260707,-9.6239,-0.757712,-12.0183,92.3347
2023-03-10 21:24:14:779,-2.39021,0.279502,-9.62688,-0.768305,-12.0542,92.3703
2023-03-10 21:24:14:789,-2.43312,0.309053,-9.63964,-0.774654,-12.0836,92.3989
2023-03-10 21:24:14:799,-2.45862,0.287823,-9.62572,-0.773969,-12.1102,92.4168
2023-03-10 21:24:14:809,-2.43035,0.264252,-9.59562,-0.766081,-12.1292,92.4229
2023-03-10 21:24:14:819,-2.35834,0.243909,-9.57719,-0.75289,-12.1357,92.42
2023-03-10 21:24:14:829,-2.28029,0.210249,-9.60073,-0.734908,-12.1339,92.409
2023-03-10 21:24:14:839,-2.20624,0.199032,-9.61459,-0.713691,-12.1236,92.393
2023-03-10 21:24:14:849,-2.13085,0.182651,-9.61245,-0.689292,-12.1091,92.3721
2023-03-10 21:24:14:859,-2.09048,0.130066,-9.61375,-0.659586,-12.0922,92.3487
2023-03-10 21:24:14:869,-2.08435,0.0950698,-9.5983,-0.625087,-12.0736,92.326
2023-03-10 21:24:14:879,-2.05965,0.0695445,-9.54202,-0.589744,-12.0533,92.3041
2023-03-10 21:24:14:889,-2.05798,0.0325281,-9.47668,-0.555575,-12.0324,92.285
2023-03-10 21:24:14:899,-2.06733,0.0152457,-9.46165,-0.520847,-12.0112,92.2597
2023-03-10 21:24:14:909,-2.05543,0.037263,-9.47625,-0.493555,-11.9896,92.2338
2023-03-10 21:24:14:919,-2.03622,0.0564368,-9.52784,-0.473863,-11.9668,92.2075
2023-03-10 21:24:14:929,-2.01785,0.0622729,-9.57229,-0.453702,-11.9416,92.1772
2023-03-10 21:24:14:939,-1.97509,0.0635325,-9.61892,-0.436714,-11.9181,92.1464
2023-03-10 21:24:14:949,-1.93277,0.0764707,-9.63874,-0.418681,-11.891,92.1122
2023-03-10 21:24:14:959,-1.87357,0.0670592,-9.62548,-0.397168,-11.8666,92.0747
