Timestamp,Acceleration_x,Acceleration_y,Acceleration_z,roll,pitch,yaw
2023-03-11 22:47:13:824,-0.369947,1.0444,-9.70469,-6.03922,-2.19257,-45.9764
2023-03-11 22:47:13:834,-0.324911,1.08029,-9.75201,-6.03597,-2.17926,-45.9809
2023-03-11 22:47:13:844,-0.380909,1.02186,-9.69448,-6.03144,-2.16471,-45.9844
2023-03-11 22:47:13:855,-0.3777,0.993138,-9.68739,-6.0251,-2.14585,-45.9847
2023-03-11 22:47:13:864,-0.331681,1.06526,-9.75624,-6.02296,-2.13181,-45.9846
2023-03-11 22:47:13:874,-0.34289,1.06934,-9.75565,-6.02371,-2.11662,-45.9856
2023-03-11 22:47:13:884,-0.357498,1.02099,-9.69529,-6.02066,-2.10471,-45.9885
2023-03-11 22:47:13:894,-0.34511,1.01705,-9.67624,-6.01607,-2.0953,-45.9943
2023-03-11 22:47:13:904,-0.312766,1.03602,-9.71312,-6.0143,-2.08644,-46.0038
2023-03-11 22:47:13:914,-0.309347,1.04041,-9.73663,-6.01259,-2.08206,-46.0132
2023-03-11 22:47:13:924,-0.32072,1.04683,-9.72437,-6.01313,-2.08169,-46.0244
2023-03-11 22:47:13:934,-0.301629,1.02154,-9.71949,-6.01293,-2.08639,-46.0372
2023-03-11 22:47:13:944,-0.287814,1.01072,-9.73142,-6.01311,-2.08731,-46.0444
2023-03-11 22:47:13:954,-0.291572,1.01066,-9.73885,-6.00901,-2.09274,-46.0501
2023-03-11 22:47:13:965,-0.303676,1.01561,-9.75174,-6.0085,-2.10143,-46.0519
2023-03-11 22:47:13:974,-0.320144,1.0189,-9.74931,-6.00932,-2.1074,-46.054
2023-03-11 22:47:13:984,-0.338443,1.02636,-9.75906,-6.00973,-2.11744,-46.0529
2023-03-11 22:47:13:994,-0.33247,1.04098,-9.75465,-6.00609,-2.12125,-46.0449
2023-03-11 22:47:14:4,-0.347529,1.04943,-9.73952,-5.99857,-2.1283,-46.0373
2023-03-11 22:47:14:14,-0.367608,1.03291,-9.72835,-5.99331,-2.13353,-46.0294
2023-03-11 22:47:14:24,-0.383867,1.03677,-9.70475,-5.9866,-2.13647,-46.0215
2023-03-11 22:47:14:34,-0.410695,1.0455,-9.72489,-5.98222,-2.14098,-46.0078
2023-03-11 22:47:14:44,-0.425666,1.03741,-9.7453,-5.97994,-2.14336,-45.9987
2023-03-11 22:47:14:54,-0.4338,1.05408,-9.77605,-5.97583,-2.14565,-45.9907
2023-03-11 22:47:14:64,-0.438631,1.09543,-9.81882,-5.97008,-2.15163,-45.9891
2023-03-11 22:47:14:74,-0.4458,1.10276,-9.80312,-5.96016,-2.15734,-45.9919
2023-03-11 22:47:14:84,-0.453693,1.02729,-9.71493,-5.93743,-2.15793,-45.9964
2023-03-11 22:47:14:94,-0.423996,0.979986,-9.66395,-5.91729,-2.15745,-46.001
2023-03-11 22:47:14:104,-0.378699,0.993006,-9.68373,-5.9011,-2.15292,-46.0103
2023-03-11 22:47:14:114,-0.340919,0.995098,-9.6851,-5.88869,-2.15481,-46.0198
2023-03-11 22:47:14:124,-0.348631,0.97582,-9.6786,-5.87542,-2.15811,-46.0299
2023-03-11 22:47:14:134,-0.360277,0.975757,-9.66541,-5.86766,-2.1616,-46.0398
2023-03-11 22:47:14:144,-0.362311,0.972498,-9.6821,-5.86135,-2.16571,-46.0504
2023-03-11 22:47:14:154,-0.344742,0.983753,-9.71098,-5.8563,-2.16978,-46.0603
2023-03-11 22:47:14:164,-0.332129,0.989383,-9.7199,-5.8512,-2.17187,-46.0678
2023-03-11 22:47:14:174,-0.330462,0.980412,-9.71874,-5.84534,-2.1731,-46.0743
2023-03-11 22:47:14:184,-0.366461,0.971067,-9.72229,-5.84151,-2.17724,-46.0821
2023-03-11 22:47:14:194,-0.405789,0.98693,-9.73162,-5.83579,-2.18387,-46.0924
2023-03-11 22:47:14:204,-0.406796,0.981491,-9.71933,-5.83036,-2.19327,-46.1079
