Timestamp,Acceleration_x,Acceleration_y,Acceleration_z,roll,pitch,yaw
2023-03-14 18:14:04:534,-0.986371,2.43697,-9.47846,-13.7819,-5.42367,62.1136
2023-03-14 18:14:04:542,-0.956968,2.44225,-9.53349,-13.7999,-5.40514,62.0986
2023-03-14 18:14:04:552,-0.877755,2.44406,-9.53246,-13.8096,-5.38687,62.082
2023-03-14 18:14:04:562,-0.819403,2.42501,-9.53167,-13.8142,-5.37234,62.0659
2023-03-14 18:14:04:572,-0.820337,2.41262,-9.50507,-13.8199,-5.36004,62.0495
2023-03-14 18:14:04:582,-0.835431,2.42862,-9.5088,-13.8229,-5.34836,62.0347
2023-03-14 18:14:04:592,-0.847397,2.41921,-9.49183,-13.8244,-5.34116,62.0229
2023-03-14 18:14:04:602,-0.853049,2.39821,-9.49126,-13.8268,-5.3366,62.0109
2023-03-14 18:14:04:612,-0.829581,2.40191,-9.49063,-13.8273,-5.33196,61.9979
2023-03-14 18:14:04:622,-0.831778,2.39656,-9.48758,-13.8287,-5.33244,61.9903
2023-03-14 18:14:04:632,-0.83166,2.38611,-9.50229,-13.8299,-5.33341,61.9845
2023-03-14 18:14:04:642,-0.858337,2.39015,-9.49555,-13.8293,-5.33503,61.981
2023-03-14 18:14:04:652,-0.853581,2.38066,-9.47973,-13.8266,-5.33743,61.9786
2023-03-14 18:14:04:662,-0.843881,2.37208,-9.47005,-13.8237,-5.33872,61.9746
2023-03-14 18:14:04:672,-0.855728,2.3527,-9.46731,-13.8191,-5.34066,61.9733
2023-03-14 18:14:04:682,-0.878945,2.36554,-9.45293,-13.8158,-5.34429,61.9718
2023-03-14 18:14:04:692,-0.901802,2.376,-9.4572,-13.8141,-5.35003,61.9715
2023-03-14 18:14:04:702,-0.922033,2.37481,-9.45366,-13.8124,-5.35901,61.9691
2023-03-14 18:14:04:712,-0.968831,2.36545,-9.44931,-13.8091,-5.36696,61.9677
2023-03-14 18:14:04:722,-1.01294,2.38604,-9.45861,-13.8076,-5.37343,61.9638
2023-03-14 18:14:04:732,-1.01122,2.38074,-9.49131,-13.8011,-5.37936,61.9602
2023-03-14 18:14:04:742,-0.979877,2.36362,-9.49836,-13.7953,-5.38807,61.9512
2023-03-14 18:14:04:752,-0.952188,2.35834,-9.48889,-13.7882,-5.39184,61.9423
2023-03-14 18:14:04:762,-0.929415,2.35176,-9.45948,-13.783,-5.39867,61.9277
2023-03-14 18:14:04:772,-0.940073,2.3372,-9.44468,-13.7801,-5.40713,61.9121
2023-03-14 18:14:04:782,-0.936562,2.32064,-9.42987,-13.7765,-5.41692,61.8995
2023-03-14 18:14:04:792,-0.905192,2.30639,-9.42988,-13.7762,-5.42435,61.8834
2023-03-14 18:14:04:802,-0.916834,2.32826,-9.42053,-13.7767,-5.43222,61.8685
