Timestamp,Acceleration_x,Acceleration_y,Acceleration_z,roll,pitch,yaw
2023-03-15 21:47:47:992,-1.0258,2.29579,-9.78646,-12.6768,-6.06914,-24.9157
2023-03-15 21:47:48:0,-1.01493,2.26303,-9.65826,-12.6331,-6.06624,-24.9268
2023-03-15 21:47:48:10,-1.0651,2.22379,-9.54734,-12.5742,-6.05744,-24.9332
2023-03-15 21:47:48:20,-1.04239,2.22183,-9.51185,-12.5169,-6.04225,-24.9409
2023-03-15 21:47:48:30,-0.978862,2.16105,-9.43333,-12.4567,-6.0246,-24.9511
2023-03-15 21:47:48:40,-0.960177,2.08077,-9.35561,-12.3983,-6.00767,-24.9545
2023-03-15 21:47:48:50,-0.964774,2.07149,-9.3427,-12.3456,-5.99634,-24.9568
2023-03-15 21:47:48:60,-0.958181,2.06753,-9.33634,-12.296,-5.98984,-24.9551
2023-03-15 21:47:48:70,-0.991162,2.05971,-9.30998,-12.2578,-5.98367,-24.9497
2023-03-15 21:47:48:80,-1.01296,2.0396,-9.3168,-12.2279,-5.97912,-24.9462
2023-03-15 21:47:48:90,-1.02953,2.04168,-9.33717,-12.2083,-5.97344,-24.9394
2023-03-15 21:47:48:100,-1.03733,2.05513,-9.38017,-12.1949,-5.96441,-24.928
2023-03-15 21:47:48:110,-1.04649,2.07953,-9.40267,-12.1884,-5.95893,-24.9201
2023-03-15 21:47:48:120,-1.0626,2.07706,-9.41902,-12.1858,-5.94873,-24.9194
2023-03-15 21:47:48:130,-1.05332,2.08314,-9.43196,-12.188,-5.94257,-24.9149
2023-03-15 21:47:48:140,-1.05162,2.08339,-9.45195,-12.1904,-5.94019,-24.9165
2023-03-15 21:47:48:150,-1.04851,2.09466,-9.46705,-12.1957,-5.94216,-24.9251
2023-03-15 21:47:48:160,-1.04575,2.09701,-9.4838,-12.2014,-5.94329,-24.9291
2023-03-15 21:47:48:170,-1.03812,2.107,-9.48913,-12.2061,-5.94505,-24.939
2023-03-15 21:47:48:180,-1.03674,2.09402,-9.49808,-12.2081,-5.9474,-24.947
2023-03-15 21:47:48:190,-1.01832,2.08994,-9.49809,-12.2128,-5.94764,-24.9574
2023-03-15 21:47:48:200,-1.00938,2.08583,-9.51139,-12.2166,-5.94829,-24.9646
2023-03-15 21:47:48:210,-1.00988,2.07695,-9.5094,-12.2199,-5.95001,-24.9712
2023-03-15 21:47:48:220,-0.990547,2.09667,-9.51084,-12.2207,-5.95069,-24.9808
2023-03-15 21:47:48:230,-0.97989,2.08977,-9.51197,-12.2236,-5.95266,-24.9877
2023-03-15 21:47:48:240,-0.997886,2.07536,-9.49905,-12.227,-5.95598,-24.9868
2023-03-15 21:47:48:250,-0.989019,2.07175,-9.48825,-12.2285,-5.95891,-24.9863
2023-03-15 21:47:48:260,-0.984494,2.07581,-9.47184,-12.2317,-5.96155,-24.9854
2023-03-15 21:47:48:270,-0.992961,2.08046,-9.47088,-12.2358,-5.9572,-24.9827
2023-03-15 21:47:48:280,-1.00047,2.08728,-9.48034,-12.2409,-5.95632,-24.9777
2023-03-15 21:47:48:290,-1.01543,2.08365,-9.49331,-12.2472,-5.95412,-24.9701
2023-03-15 21:47:48:300,-1.02842,2.10102,-9.49643,-12.2557,-5.95075,-24.9617
2023-03-15 21:47:48:310,-1.03414,2.12634,-9.49714,-12.2627,-5.94647,-24.9532
2023-03-15 21:47:48:320,-1.03093,2.13554,-9.48983,-12.2682,-5.94134,-24.9449
2023-03-15 21:47:48:330,-1.0397,2.1235,-9.50064,-12.273,-5.9387,-24.936
2023-03-15 21:47:48:340,-1.03833,2.14182,-9.507,-12.28,-5.93002,-24.9265
2023-03-15 21:47:48:350,-1.04716,2.15158,-9.51815,-12.289,-5.92695,-24.9181
2023-03-15 21:47:48:360,-1.05367,2.15908,-9.52267,-12.2946,-5.92195,-24.9119
2023-03-15 21:47:48:370,-1.04751,2.14953,-9.53485,-12.2948,-5.91693,-24.9036
2023-03-15 21:47:48:380,-1.03554,2.14041,-9.55506,-12.2929,-5.9131,-24.8956
2023-03-15 21:47:48:389,-1.0364,2.14978,-9.55534,-12.2882,-5.90679,-24.8939
2023-03-15 21:47:48:399,-1.0468,2.13419,-9.5386,-12.2794,-5.90463,-24.8901
2023-03-15 21:47:48:409,-1.04345,2.11578,-9.51452,-12.2688,-5.90017,-24.8879
2023-03-15 21:47:48:419,-1.02546,2.09971,-9.51049,-12.26,-5.89835,-24.8852
2023-03-15 21:47:48:429,-1.03839,2.10236,-9.54923,-12.2474,-5.89258,-24.8844
2023-03-15 21:47:48:439,-1.02752,2.10647,-9.59904,-12.2331,-5.88597,-24.8859
2023-03-15 21:47:48:449,-0.985014,2.07832,-9.59447,-12.2174,-5.87833,-24.8873
2023-03-15 21:47:48:459,-0.970799,2.03435,-9.55831,-12.196,-5.87398,-24.8882
2023-03-15 21:47:48:469,-0.985917,2.02429,-9.51168,-12.1747,-5.87806,-24.8883
2023-03-15 21:47:48:479,-0.994513,2.04077,-9.47458,-12.1578,-5.88319,-24.8891
2023-03-15 21:47:48:489,-1.01734,2.03401,-9.42313,-12.1419,-5.88756,-24.8883
2023-03-15 21:47:48:499,-1.01842,2.01012,-9.39314,-12.1293,-5.88635,-24.8877
2023-03-15 21:47:48:509,-1.01266,2.00895,-9.39887,-12.124,-5.88868,-24.8871
2023-03-15 21:47:48:519,-1.00464,2.03908,-9.43197,-12.1234,-5.88864,-24.8856
2023-03-15 21:47:48:529,-0.998694,2.06218,-9.48425,-12.1235,-5.8903,-24.8835
2023-03-15 21:47:48:539,-1.00974,2.08237,-9.52522,-12.1288,-5.88977,-24.8808
2023-03-15 21:47:48:550,-1.01817,2.09513,-9.52366,-12.1357,-5.88658,-24.8779
2023-03-15 21:47:48:560,-1.03651,2.10624,-9.53747,-12.1379,-5.88654,-24.8763
2023-03-15 21:47:48:570,-1.06051,2.10482,-9.54217,-12.1391,-5.88397,-24.8737
2023-03-15 21:47:48:580,-1.05651,2.07989,-9.51198,-12.1364,-5.88039,-24.8769
2023-03-15 21:47:48:590,-1.05933,2.05748,-9.48717,-12.128,-5.87557,-24.8814
2023-03-15 21:47:48:600,-1.03517,2.05881,-9.48175,-12.1192,-5.87002,-24.8829
2023-03-15 21:47:48:610,-1.00883,2.04176,-9.46895,-12.11,-5.86588,-24.888
2023-03-15 21:47:48:620,-0.995555,2.03781,-9.4827,-12.1012,-5.86266,-24.891
2023-03-15 21:47:48:630,-0.997699,2.05276,-9.4989,-12.0933,-5.8577,-24.8949
2023-03-15 21:47:48:640,-0.99317,2.05327,-9.49522,-12.0895,-5.85531,-24.9017
2023-03-15 21:47:48:650,-0.986275,2.04897,-9.51231,-12.0869,-5.85718,-24.9046
2023-03-15 21:47:48:660,-0.996144,2.0439,-9.53604,-12.0849,-5.85877,-24.9085
2023-03-15 21:47:48:670,-0.997681,2.04065,-9.57237,-12.0766,-5.85106,-24.9123
2023-03-15 21:47:48:680,-0.990005,2.06675,-9.55594,-12.0705,-5.84087,-24.9153
2023-03-15 21:47:48:690,-0.957283,2.0528,-9.53722,-12.0674,-5.83192,-24.9162
2023-03-15 21:47:48:700,-0.949895,2.044,-9.5461,-12.0589,-5.82446,-24.9126
