Timestamp,Acceleration_x,Acceleration_y,Acceleration_z,roll,pitch,yaw
2023-01-13 09:43:50:855,-0.0609055,-0.122159,-0.999298,0.122189,-0.052765,0.792046
2023-01-13 09:43:50:864,-0.059196,-0.122533,-0.997062,0.122151,-0.0525576,0.792298
2023-01-13 09:43:50:874,-0.0559184,-0.120725,-0.995002,0.122058,-0.0523018,0.792539
2023-01-13 09:43:50:884,-0.051232,-0.118532,-0.993157,0.121954,-0.0519823,0.792736
2023-01-13 09:43:50:894,-0.0477214,-0.117017,-0.991048,0.121832,-0.0516779,0.792952
2023-01-13 09:43:50:904,-0.047088,-0.118373,-0.989765,0.121746,-0.0513895,0.793129
2023-01-13 09:43:50:914,-0.0478518,-0.117795,-0.985891,0.121741,-0.0511417,0.793324
2023-01-13 09:43:50:924,-0.0485362,-0.117881,-0.985387,0.121811,-0.0509205,0.79354
2023-01-13 09:43:50:934,-0.048642,-0.120754,-0.988751,0.121913,-0.0507415,0.793687
2023-01-13 09:43:50:944,-0.0485204,-0.123425,-0.992407,0.122027,-0.050583,0.793891
2023-01-13 09:43:50:954,-0.0480186,-0.124322,-0.994114,0.122153,-0.0503721,0.794076
2023-01-13 09:43:50:964,-0.0489856,-0.122937,-0.993787,0.122154,-0.0502098,0.794274
2023-01-13 09:43:50:974,-0.0486865,-0.122596,-0.994157,0.122147,-0.0500945,0.794414
2023-01-13 09:43:50:984,-0.047883,-0.121379,-0.99437,0.122203,-0.0499183,0.794523
2023-01-13 09:43:50:994,-0.0466143,-0.120493,-0.994114,0.122193,-0.0497883,0.794704
2023-01-13 09:43:51:4,-0.0453773,-0.120263,-0.994161,0.122212,-0.0496229,0.794891
2023-01-13 09:43:51:14,-0.0448799,-0.121559,-0.993539,0.122324,-0.0494832,0.795018
2023-01-13 09:43:51:24,-0.0440839,-0.120825,-0.991771,0.122418,-0.0493512,0.795089
2023-01-13 09:43:51:34,-0.0418085,-0.122527,-0.994014,0.122556,-0.0491427,0.795161
2023-01-13 09:43:51:44,-0.0377388,-0.122786,-0.995479,0.122661,-0.049095,0.795196
2023-01-13 09:43:51:54,-0.0388422,-0.123795,-0.996893,0.122779,-0.0490134,0.795123
2023-01-13 09:43:51:64,-0.0428956,-0.124421,-0.997253,0.122889,-0.049053,0.795042
2023-01-13 09:43:51:74,-0.0474418,-0.126415,-0.997768,0.12297,-0.0490785,0.794951
2023-01-13 09:43:51:84,-0.0505362,-0.128205,-1.00054,0.122976,-0.0490734,0.794936
2023-01-13 09:43:51:94,-0.0476194,-0.128275,-1.00128,0.122916,-0.0490472,0.79495
2023-01-13 09:43:51:104,-0.0448435,-0.125323,-0.998462,0.122744,-0.0489206,0.7949
