Timestamp,Acceleration_x,Acceleration_y,Acceleration_z,roll,pitch,yaw
2023-01-13 09:30:50:72,0.00150247,0.0340484,-0.999102,-0.0349059,0.00548922,0.83292
2023-01-13 09:30:50:81,0.00222624,0.0350144,-0.996961,-0.0350075,0.0055271,0.832831
2023-01-13 09:30:50:91,0.00262127,0.0370907,-0.996147,-0.0351882,0.00554763,0.832784
2023-01-13 09:30:50:101,0.000504588,0.0378141,-0.997678,-0.0352501,0.00554781,0.832724
2023-01-13 09:30:50:111,-0.000857069,0.0379696,-0.999685,-0.0353349,0.00555952,0.832732
2023-01-13 09:30:50:121,-0.00182198,0.0387208,-1.00079,-0.0353927,0.0056587,0.832755
2023-01-13 09:30:50:131,-0.00218923,0.0369607,-1.00312,-0.0354649,0.00570942,0.832821
2023-01-13 09:30:50:141,-0.00403669,0.0357816,-1.00425,-0.0355804,0.00580268,0.832942
2023-01-13 09:30:50:151,-0.00221799,0.0371212,-1.00133,-0.0357325,0.00600509,0.833097
2023-01-13 09:30:50:161,0.00238816,0.0395064,-0.99788,-0.0358023,0.00628827,0.833268
2023-01-13 09:30:50:171,0.00646897,0.0405893,-0.995567,-0.0359016,0.00661341,0.833461
2023-01-13 09:30:50:181,0.00940189,0.0398613,-0.995785,-0.0359388,0.00696962,0.833614
2023-01-13 09:30:50:191,0.0141132,0.038374,-0.995851,-0.0359856,0.00728079,0.833778
2023-01-13 09:30:50:201,0.0158551,0.0366463,-0.998205,-0.0358885,0.00750812,0.833914
2023-01-13 09:30:50:211,0.0154508,0.035105,-0.998648,-0.0358535,0.00778501,0.834086
2023-01-13 09:30:50:221,0.0145962,0.0350301,-0.997745,-0.0358672,0.00796965,0.83421
2023-01-13 09:30:50:231,0.0144022,0.0346864,-0.997674,-0.0358235,0.00813108,0.834324
2023-01-13 09:30:50:241,0.0144356,0.0371741,-0.996569,-0.0358689,0.00827032,0.834429
2023-01-13 09:30:50:251,0.0139296,0.0378359,-0.99564,-0.0358509,0.00839068,0.834603
2023-01-13 09:30:50:261,0.014057,0.0393546,-0.995988,-0.0357523,0.00845376,0.834731
2023-01-13 09:30:50:271,0.0153731,0.0383439,-0.998696,-0.035619,0.00850481,0.83491
2023-01-13 09:30:50:281,0.0175907,0.03707,-1.00066,-0.0355036,0.00850558,0.835015
2023-01-13 09:30:50:291,0.01972,0.0357327,-1.00239,-0.0354076,0.00845764,0.83511
2023-01-13 09:30:50:301,0.0213949,0.0346049,-1.00439,-0.0352683,0.00842434,0.835176
2023-01-13 09:30:50:311,0.020174,0.034039,-1.0035,-0.0351829,0.00837892,0.835128
2023-01-13 09:30:50:321,0.0168391,0.0344234,-0.999097,-0.0351653,0.00830176,0.835031
2023-01-13 09:30:50:331,0.0154707,0.0362364,-0.998381,-0.0351249,0.00822016,0.834855
2023-01-13 09:30:50:341,0.015535,0.035222,-0.999395,-0.0350373,0.00812064,0.834675
2023-01-13 09:30:50:351,0.0153807,0.034713,-1.00074,-0.0349696,0.00798354,0.834492
2023-01-13 09:30:50:361,0.0110256,0.0341786,-1.00078,-0.0349737,0.0077737,0.834182
2023-01-13 09:30:50:371,0.00234564,0.0351253,-0.998487,-0.0349343,0.00755789,0.8339
2023-01-13 09:30:50:381,0.000120781,0.0371819,-0.995733,-0.03491,0.00741954,0.833715
2023-01-13 09:30:50:391,0.0020425,0.036921,-0.996853,-0.0347822,0.00743255,0.83352
2023-01-13 09:30:50:401,0.00434403,0.0370767,-0.998484,-0.0346805,0.0073938,0.833413
2023-01-13 09:30:50:411,0.00581387,0.0355708,-1.00077,-0.0345799,0.00738581,0.833281
2023-01-13 09:30:50:421,0.00859115,0.0347676,-1.00215,-0.0344533,0.00733893,0.833157
2023-01-13 09:30:50:431,0.00769055,0.0332634,-1.00197,-0.034381,0.00724455,0.833063
2023-01-13 09:30:50:441,0.00529229,0.0333016,-1.00222,-0.0343109,0.0071777,0.833012
2023-01-13 09:30:50:451,0.00263072,0.0332739,-1.00145,-0.0341982,0.00712232,0.832982
2023-01-13 09:30:50:461,0.00216715,0.033409,-1.00193,-0.0341206,0.00704441,0.832958
2023-01-13 09:30:50:471,0.00254265,0.0347243,-1.00219,-0.0340803,0.00700389,0.832977
2023-01-13 09:30:50:481,0.00275471,0.0336116,-1.00216,-0.0340614,0.00702644,0.832944
2023-01-13 09:30:50:491,0.00417076,0.0336254,-1.00046,-0.0340313,0.00706769,0.832989
2023-01-13 09:30:50:501,0.00474909,0.0362405,-0.998779,-0.0340109,0.00716266,0.833039
2023-01-13 09:30:50:511,0.00568872,0.0365008,-0.996918,-0.0340033,0.00725078,0.833141
2023-01-13 09:30:50:521,0.00600403,0.0353839,-0.997429,-0.0339878,0.00727461,0.833188
2023-01-13 09:30:50:531,0.0068987,0.0358536,-0.998111,-0.0339778,0.00735253,0.833349
2023-01-13 09:30:50:541,0.00838876,0.0351345,-0.99809,-0.0338962,0.00747074,0.833499
2023-01-13 09:30:50:551,0.00857519,0.0349104,-0.998564,-0.0338214,0.00750951,0.83361
