Timestamp,Acceleration_x,Acceleration_y,Acceleration_z,roll,pitch,yaw
2023-01-13 09:47:25:368,-0.0642438,-0.103145,-0.997699,0.102606,-0.0636805,0.806336
2023-01-13 09:47:25:377,-0.0622423,-0.102733,-0.997465,0.102541,-0.0637487,0.806315
2023-01-13 09:47:25:387,-0.0623103,-0.101846,-0.996939,0.102465,-0.0638318,0.80622
2023-01-13 09:47:25:397,-0.0633248,-0.102337,-0.996951,0.102358,-0.0639094,0.806107
2023-01-13 09:47:25:407,-0.0658178,-0.100434,-0.994036,0.102257,-0.0639787,0.805958
2023-01-13 09:47:25:417,-0.0673467,-0.0972332,-0.990492,0.10211,-0.0640241,0.805745
2023-01-13 09:47:25:427,-0.0685821,-0.096102,-0.99012,0.101946,-0.0640788,0.805605
2023-01-13 09:47:25:437,-0.0705127,-0.0974652,-0.993836,0.101867,-0.064124,0.805465
2023-01-13 09:47:25:447,-0.0746524,-0.0967457,-0.994708,0.101813,-0.0641983,0.805369
2023-01-13 09:47:25:457,-0.0795403,-0.0983674,-0.995741,0.101872,-0.0642354,0.805295
2023-01-13 09:47:25:467,-0.0807493,-0.0982055,-0.99587,0.101849,-0.0641734,0.805361
2023-01-13 09:47:25:477,-0.0771629,-0.0972885,-0.992857,0.101787,-0.0640072,0.805435
2023-01-13 09:47:25:487,-0.0708503,-0.0964844,-0.989722,0.101716,-0.063724,0.805599
2023-01-13 09:47:25:497,-0.0654311,-0.0984227,-0.989951,0.101788,-0.0634463,0.805815
2023-01-13 09:47:25:507,-0.0638537,-0.100305,-0.991275,0.101933,-0.0631232,0.806053
2023-01-13 09:47:25:517,-0.0606503,-0.102352,-0.992639,0.102162,-0.0628149,0.806338
2023-01-13 09:47:25:527,-0.0593417,-0.104398,-0.993901,0.102334,-0.0625375,0.806619
2023-01-13 09:47:25:537,-0.0573941,-0.105077,-0.994084,0.102519,-0.0622876,0.806938
2023-01-13 09:47:25:547,-0.0546706,-0.104616,-0.993833,0.102643,-0.0620772,0.807182
2023-01-13 09:47:25:557,-0.0521143,-0.104373,-0.994283,0.102709,-0.0619412,0.80749
2023-01-13 09:47:25:567,-0.0514384,-0.103102,-0.993891,0.102707,-0.0618784,0.807732
2023-01-13 09:47:25:577,-0.0510436,-0.100606,-0.991696,0.102753,-0.0618611,0.807891
2023-01-13 09:47:25:587,-0.0505936,-0.0999106,-0.991249,0.102829,-0.0618694,0.807977
2023-01-13 09:47:25:597,-0.0518094,-0.0997648,-0.992466,0.102949,-0.061904,0.808006
2023-01-13 09:47:25:607,-0.0529931,-0.1013,-0.996238,0.103166,-0.0619609,0.807992
2023-01-13 09:47:25:617,-0.0536848,-0.103864,-1.00094,0.103344,-0.0620546,0.807937
2023-01-13 09:47:25:627,-0.0568419,-0.106456,-1.00166,0.103515,-0.0621433,0.807819
2023-01-13 09:47:25:639,-0.0589024,-0.106185,-0.998215,0.103718,-0.0621743,0.807621
2023-01-13 09:47:25:647,-0.0596761,-0.106699,-0.998966,0.103865,-0.0621614,0.807454
2023-01-13 09:47:25:657,-0.0593687,-0.107156,-1.00099,0.103886,-0.0621557,0.807197
2023-01-13 09:47:25:667,-0.0616425,-0.108146,-1.00093,0.103876,-0.062245,0.806894
2023-01-13 09:47:25:677,-0.0670873,-0.107691,-0.998776,0.103816,-0.0623424,0.80671
2023-01-13 09:47:25:687,-0.0729332,-0.10613,-0.995535,0.103709,-0.0624979,0.806551
2023-01-13 09:47:25:697,-0.0729191,-0.106528,-0.995135,0.103568,-0.0625696,0.806463
2023-01-13 09:47:25:707,-0.0699721,-0.10623,-0.996948,0.10343,-0.06256,0.8065
2023-01-13 09:47:25:717,-0.0666887,-0.104771,-0.996758,0.103331,-0.0625802,0.806638
2023-01-13 09:47:25:727,-0.0650507,-0.104123,-0.997756,0.10323,-0.0626258,0.806727
2023-01-13 09:47:25:737,-0.0638951,-0.102758,-0.997957,0.103032,-0.0626723,0.806917
2023-01-13 09:47:25:747,-0.0636395,-0.102452,-0.997605,0.102803,-0.0627061,0.807072
2023-01-13 09:47:25:757,-0.0616219,-0.101308,-0.99677,0.102594,-0.0627493,0.807186
2023-01-13 09:47:25:767,-0.059471,-0.0994032,-0.993912,0.102356,-0.0628073,0.807297
2023-01-13 09:47:25:777,-0.0574587,-0.0986838,-0.990889,0.102082,-0.0628292,0.807388
2023-01-13 09:47:25:787,-0.0565244,-0.0969629,-0.988456,0.10187,-0.0627807,0.807373
2023-01-13 09:47:25:797,-0.0582884,-0.097606,-0.990066,0.101753,-0.0627596,0.807324
2023-01-13 09:47:25:807,-0.0596564,-0.0992272,-0.994391,0.101624,-0.0627682,0.807267
2023-01-13 09:47:25:817,-0.0607848,-0.100352,-0.995914,0.101547,-0.0627468,0.807182
2023-01-13 09:47:25:827,-0.0634006,-0.0975263,-0.993219,0.101412,-0.0628001,0.807111
2023-01-13 09:47:25:837,-0.0649452,-0.095034,-0.991368,0.101277,-0.0628524,0.80704
2023-01-13 09:47:25:847,-0.0667357,-0.0937685,-0.990519,0.101159,-0.0628625,0.80701
2023-01-13 09:47:25:857,-0.0667877,-0.0949645,-0.990761,0.101098,-0.0629089,0.806969
2023-01-13 09:47:25:867,-0.0660073,-0.0947155,-0.990356,0.101121,-0.0628846,0.806988
2023-01-13 09:47:25:877,-0.064735,-0.0951774,-0.99194,0.101137,-0.0628838,0.807018
2023-01-13 09:47:25:887,-0.063444,-0.0965321,-0.992651,0.101172,-0.0629036,0.807129
