Timestamp_log,left_angle,right_angle,left_thrust,right_thrust,read_left_angle,read_right_angle
2023-03-12 02:21:54.733307,0,0,1500,1500,-0.088,0.0
2023-03-12 02:21:55.719231,-14,-14,1500,1500,-7.826,-7.474
2023-03-12 02:21:55.766829,-14,-14,1500,1500,-13.718,-13.718
2023-03-12 02:21:55.810917,-21,-21,1500,1500,-18.026,-17.851
2023-03-12 02:21:55.872931,-24,-24,1500,1500,-22.511,-22.423
2023-03-12 02:21:55.943025,-32,-32,1500,1500,-25.413,-25.325
2023-03-12 02:21:56.001943,-30,-30,1500,1500,-31.041,-31.128
2023-03-12 02:21:56.063284,-31,-31,1500,1500,-30.425,-30.249
2023-03-12 02:21:56.187623,-32,-32,1500,1500,-31.392,-31.216
2023-03-12 02:21:56.228678,-40,-40,1500,1500,-35.349,-35.261
2023-03-12 02:21:56.281642,-50,-50,1500,1500,-42.472,-42.296
2023-03-12 02:21:56.326178,-51,-51,1500,1500,-49.858,-49.77
2023-03-12 02:21:56.383127,-46,-46,1500,1500,-50.034,-50.122
2023-03-12 02:21:56.453153,-47,-47,1500,1500,-46.605,-46.517
2023-03-12 02:21:56.520608,-51,-51,1500,1500,-48.012,-47.748
2023-03-12 02:21:56.583112,-53,-53,1500,1500,-51.969,-51.881
2023-03-12 02:21:56.642412,-55,-55,1500,1500,-54.079,-53.903
2023-03-12 02:21:56.702180,-59,-59,1500,1500,-56.014,-55.838
2023-03-12 02:21:56.773246,-64,-64,1500,1500,-59.883,-59.795
2023-03-12 02:21:56.834716,-64,-64,1500,1500,-63.928,-63.928
2023-03-12 02:21:56.914529,-69,-69,1500,1500,-64.895,-64.807
2023-03-12 02:21:56.964713,-73,-73,1500,1500,-69.555,-69.468
2023-03-12 02:21:57.028475,-76,-76,1500,1500,-74.128,-73.952
2023-03-12 02:21:57.092639,-78,-78,1500,1500,-76.414,-76.414
2023-03-12 02:21:57.154903,-80,-80,1500,1500,-78.261,-78.173
2023-03-12 02:21:57.223034,-80,-80,1500,1500,-79.932,-79.844
2023-03-12 02:21:57.284500,-80,-80,1500,1500,-79.932,-79.756
2023-03-12 02:21:57.345352,-80,-80,1500,1500,-79.844,-79.756
2023-03-12 02:21:57.413776,-80,-80,1500,1500,-79.932,-79.756
2023-03-12 02:21:57.474606,-80,-80,1500,1500,-79.932,-79.844
2023-03-12 02:21:57.545171,-80,-80,1500,1500,-79.932,-79.756
2023-03-12 02:21:57.608208,-80,-80,1500,1500,-79.932,-79.844
2023-03-12 02:21:57.672223,-80,-80,1500,1500,-79.932,-79.844
2023-03-12 02:21:57.739849,-80,-80,1500,1500,-79.932,-79.844
2023-03-12 02:21:57.795652,-62,-62,1500,1500,-78.525,-78.701
2023-03-12 02:21:57.863896,-48,-48,1500,1500,-60.059,-59.795
2023-03-12 02:21:57.924158,-38,-38,1500,1500,-43.615,-43.439
2023-03-12 02:21:57.984452,-33,-33,1500,1500,-37.372,-37.196
2023-03-12 02:21:58.062633,-28,-28,1500,1500,-32.096,-31.92
2023-03-12 02:21:58.115160,-22,-22,1500,1500,-27.523,-27.259
2023-03-12 02:21:58.182421,-23,-23,1500,1500,-22.687,-22.511
2023-03-12 02:21:58.258393,-24,-24,1500,1500,-23.214,-23.127
2023-03-12 02:21:58.309078,-22,-22,1500,1500,-23.302,-23.478
2023-03-12 02:21:58.375221,-23,-23,1500,1500,-22.423,-22.247
2023-03-12 02:21:58.444594,-26,-26,1500,1500,-23.39,-23.127
2023-03-12 02:21:58.504192,-26,-26,1500,1500,-25.94,-25.852
2023-03-12 02:21:58.562499,-25,-25,1500,1500,-25.765,-25.677
2023-03-12 02:21:58.622051,-27,-27,1500,1500,-25.501,-25.413
2023-03-12 02:21:58.692450,-25,-25,1500,1500,-26.556,-26.644
2023-03-12 02:21:58.754731,-21,-21,1500,1500,-24.621,-24.446
2023-03-12 02:21:58.832736,-15,-15,1500,1500,-18.114,-17.938
2023-03-12 02:21:58.885315,-15,-15,1500,1500,-15.213,-15.037
2023-03-12 02:21:58.943358,-13,-13,1500,1500,-14.773,-14.597
2023-03-12 02:21:59.014727,-14,-14,1500,1500,-13.63,-13.542
2023-03-12 02:21:59.075043,-11,-11,1500,1500,-12.926,-12.75
2023-03-12 02:21:59.145141,-6,-6,1500,1500,-10.552,-10.376
2023-03-12 02:21:59.204300,-2,-2,1500,1500,-5.54,-5.276
2023-03-12 02:22:00.523619,0,0,1500,1500,-1.847,-1.671
2023-03-12 02:22:02.489820,0,0,1500,1500,-0.176,-0.176
2023-03-12 02:22:03.472958,1,1,1500,1500,0.0,0.0
2023-03-12 02:22:03.507365,1,1,1500,1500,0.616,0.791
2023-03-12 02:22:03.556068,29,29,1500,1500,2.022,1.935
2023-03-12 02:22:03.623504,34,34,1500,1500,29.458,29.546
2023-03-12 02:22:03.684565,36,36,1500,1500,34.206,34.206
2023-03-12 02:22:03.746651,40,40,1500,1500,36.317,36.404
2023-03-12 02:22:03.826101,47,47,1500,1500,40.625,40.625
2023-03-12 02:22:03.880781,52,52,1500,1500,49.682,49.858
2023-03-12 02:22:03.944402,58,58,1500,1500,52.848,52.936
2023-03-12 02:22:04.003196,62,62,1500,1500,59.971,59.971
2023-03-12 02:22:04.062338,68,68,1500,1500,63.224,63.224
2023-03-12 02:22:04.132426,70,70,1500,1500,68.852,68.94
2023-03-12 02:22:04.204402,68,68,1500,1500,69.468,69.555
2023-03-12 02:22:04.264287,70,70,1500,1500,68.764,68.764
2023-03-12 02:22:04.324531,71,71,1500,1500,69.907,69.995
2023-03-12 02:22:04.383883,70,70,1500,1500,70.347,70.435
2023-03-12 02:22:04.452630,66,66,1500,1500,67.885,68.236
2023-03-12 02:22:04.512651,66,66,1500,1500,66.038,66.126
2023-03-12 02:22:04.596243,65,65,1500,1500,65.95,66.038
2023-03-12 02:22:04.645323,69,69,1500,1500,66.654,66.742
2023-03-12 02:22:04.703114,72,72,1500,1500,70.435,70.347
2023-03-12 02:22:04.772634,80,80,1500,1500,75.975,76.063
2023-03-12 02:22:04.834407,80,80,1500,1500,79.844,79.932
2023-03-12 02:22:04.905062,80,80,1500,1500,79.844,79.932
2023-03-12 02:22:04.965635,80,80,1500,1500,79.844,79.932
2023-03-12 02:22:05.030393,80,80,1500,1500,79.844,79.932
2023-03-12 02:22:05.094629,80,80,1500,1500,79.844,80.02
2023-03-12 02:22:05.153436,80,80,1500,1500,79.844,79.932
2023-03-12 02:22:05.222356,80,80,1500,1500,79.844,79.932
2023-03-12 02:22:05.284396,80,80,1500,1500,79.844,79.932
2023-03-12 02:22:05.357832,80,80,1500,1500,79.844,79.932
2023-03-12 02:22:05.414421,80,80,1500,1500,79.844,79.932
2023-03-12 02:22:05.474451,80,80,1500,1500,79.844,79.932
2023-03-12 02:22:05.543617,80,80,1500,1500,79.844,79.932
2023-03-12 02:22:05.603613,80,80,1500,1500,79.844,79.932
2023-03-12 02:22:05.665087,80,80,1500,1500,79.844,79.932
2023-03-12 02:22:05.744443,80,80,1500,1500,79.844,79.932
2023-03-12 02:22:05.797083,65,65,1500,1500,78.964,79.228
2023-03-12 02:22:05.864703,52,52,1500,1500,63.224,63.136
2023-03-12 02:22:05.923606,49,49,1500,1500,51.265,51.529
2023-03-12 02:22:05.984929,43,43,1500,1500,48.012,48.276
2023-03-12 02:22:06.055011,44,44,1500,1500,43.175,43.263
2023-03-12 02:22:06.130312,44,44,1500,1500,43.879,43.879
2023-03-12 02:22:06.228849,38,38,1500,1500,41.856,42.032
2023-03-12 02:22:06.274241,33,33,1500,1500,37.108,37.372
2023-03-12 02:22:06.306060,31,31,1500,1500,33.327,33.415
2023-03-12 02:22:06.373650,29,29,1500,1500,30.161,30.249
2023-03-12 02:22:06.434671,22,22,1500,1500,25.852,25.94
2023-03-12 02:22:06.518218,12,12,1500,1500,18.642,18.554
2023-03-12 02:22:06.568526,6,6,1500,1500,12.574,12.662
2023-03-12 02:22:07.848618,0,0,1500,1500,4.045,4.045
2023-03-12 02:22:10.191270,0,0,1500,1500,0.0,0.088
2023-03-12 02:22:11.004481,-8,8,1500,1500,-1.231,1.143
2023-03-12 02:22:11.044712,-34,34,1500,1500,-9.321,9.145
2023-03-12 02:22:11.121710,-54,54,1500,1500,-37.548,37.46
2023-03-12 02:22:11.175519,-54,54,1500,1500,-53.727,53.639
2023-03-12 02:22:11.237203,-54,54,1500,1500,-54.255,54.167
2023-03-12 02:22:11.306437,-56,56,1500,1500,-54.343,54.343
2023-03-12 02:22:11.364597,-61,61,1500,1500,-56.717,56.629
2023-03-12 02:22:11.424017,-66,66,1500,1500,-61.817,61.817
2023-03-12 02:22:11.494760,-76,76,1500,1500,-67.533,67.445
2023-03-12 02:22:11.557069,-80,80,1500,1500,-77.733,77.645
2023-03-12 02:22:11.668748,-80,80,1500,1500,-79.932,79.844
2023-03-12 02:22:11.715535,-79,79,1500,1500,-79.58,79.492
2023-03-12 02:22:11.766643,-72,72,1500,1500,-78.525,78.701
2023-03-12 02:22:11.815069,-67,67,1500,1500,-71.49,71.49
2023-03-12 02:22:11.893532,-62,62,1500,1500,-66.214,66.126
2023-03-12 02:22:11.944785,-61,61,1500,1500,-62.081,62.081
2023-03-12 02:22:12.006842,-49,49,1500,1500,-56.893,56.717
2023-03-12 02:22:12.064753,-49,49,1500,1500,-49.155,48.979
2023-03-12 02:22:12.134439,-44,44,1500,1500,-46.869,46.781
2023-03-12 02:22:12.197205,-40,40,1500,1500,-42.648,42.56
2023-03-12 02:22:12.286781,-39,39,1500,1500,-40.098,40.01
2023-03-12 02:22:12.325949,-37,37,1500,1500,-39.13,39.043
2023-03-12 02:22:12.384890,-40,40,1500,1500,-37.636,37.372
2023-03-12 02:22:12.454391,-54,54,1500,1500,-41.856,41.944
2023-03-12 02:22:12.514834,-54,54,1500,1500,-54.167,54.079
2023-03-12 02:22:12.584839,-63,63,1500,1500,-55.486,55.486
2023-03-12 02:22:12.663950,-42,42,1500,1500,-61.202,61.29
2023-03-12 02:22:12.706004,-26,26,1500,1500,-43.615,43.615
2023-03-12 02:22:12.779235,-11,11,1500,1500,-18.026,17.851
2023-03-12 02:22:12.837935,-4,4,1500,1500,-8.53,8.442
2023-03-12 02:22:12.905003,-6,6,1500,1500,-4.924,4.748
2023-03-12 02:22:14.202518,0,0,1500,1500,-4.748,4.836
2023-03-12 02:22:16.739736,0,0,1500,1500,-0.088,0.0
2023-03-12 02:22:17.728135,11,-11,1500,1500,6.947,-6.947
2023-03-12 02:22:17.778817,11,-11,1500,1500,10.904,-10.992
2023-03-12 02:22:17.833973,74,-74,1500,1500,17.147,-17.499
2023-03-12 02:22:17.894351,78,-78,1500,1500,43.703,-43.879
2023-03-12 02:22:17.953686,77,-77,1500,1500,76.238,-76.326
2023-03-12 02:22:18.046532,73,-73,1500,1500,76.678,-76.854
2023-03-12 02:22:18.090731,70,-70,1500,1500,72.281,-72.281
2023-03-12 02:22:18.146393,64,-64,1500,1500,69.468,-69.468
2023-03-12 02:22:18.220466,55,-55,1500,1500,61.202,-61.29
2023-03-12 02:22:18.275266,59,-59,1500,1500,55.486,-55.574
