Timestamp_log,left_angle,right_angle,left_thrust,right_thrust,read_left_angle,read_right_angle
2023-03-12 02:33:24.248396,0,0,1500,1500,-0.176,-0.088
2023-03-12 02:33:24.885388,-3,-3,1500,1500,-0.352,-0.352
2023-03-12 02:33:24.921591,-12,-12,1500,1500,-5.188,-5.1
2023-03-12 02:33:24.979542,-20,-20,1500,1500,-14.509,-14.509
2023-03-12 02:33:25.044596,-26,-26,1500,1500,-20.049,-19.961
2023-03-12 02:33:25.099641,-30,-30,1500,1500,-27.347,-27.259
2023-03-12 02:33:25.174877,-35,-35,1500,1500,-32.272,-32.184
2023-03-12 02:33:25.236625,-31,-31,1500,1500,-34.646,-34.734
2023-03-12 02:33:25.307765,-32,-32,1500,1500,-31.48,-31.304
2023-03-12 02:33:25.359776,-33,-33,1500,1500,-32.272,-32.096
2023-03-12 02:33:25.419779,-36,-36,1500,1500,-33.854,-33.766
2023-03-12 02:33:25.487939,-41,-41,1500,1500,-39.13,-39.043
2023-03-12 02:33:25.551553,-45,-45,1500,1500,-42.208,-42.032
2023-03-12 02:33:25.618739,-50,-50,1500,1500,-46.605,-46.517
2023-03-12 02:33:25.688459,-65,-65,1500,1500,-58.212,-58.476
2023-03-12 02:33:25.740443,-68,-68,1500,1500,-66.83,-66.83
2023-03-12 02:33:25.809925,-71,-71,1500,1500,-68.852,-68.764
2023-03-12 02:33:25.873622,-80,-80,1500,1500,-72.545,-72.545
2023-03-12 02:33:25.940635,-80,-80,1500,1500,-79.932,-79.932
2023-03-12 02:33:26.000838,-80,-80,1500,1500,-80.02,-79.932
2023-03-12 02:33:26.061325,-80,-80,1500,1500,-80.02,-79.932
2023-03-12 02:33:26.139121,-80,-80,1500,1500,-80.02,-79.932
2023-03-12 02:33:26.190166,-80,-80,1500,1500,-79.932,-79.932
2023-03-12 02:33:26.259746,-80,-80,1500,1500,-80.02,-79.932
2023-03-12 02:33:26.319047,-80,-80,1500,1500,-79.932,-79.932
2023-03-12 02:33:26.381458,-80,-80,1500,1500,-79.932,-79.932
2023-03-12 02:33:26.450071,-80,-80,1500,1500,-79.932,-79.932
2023-03-12 02:33:26.514597,-80,-80,1500,1500,-80.02,-79.844
2023-03-12 02:33:26.578549,-80,-80,1500,1500,-79.932,-79.932
2023-03-12 02:33:26.639076,-74,-74,1500,1500,-78.261,-78.173
2023-03-12 02:33:26.699103,-71,-71,1500,1500,-73.161,-73.073
2023-03-12 02:33:26.770501,-68,-68,1500,1500,-70.435,-70.347
2023-03-12 02:33:26.843402,-70,-70,1500,1500,-68.676,-68.5
