Timestamp_log,left_angle,right_angle,left_thrust,right_thrust,read_left_angle,read_right_angle,accel_x,accel_y,accel_z,roll,pitch,yaw,e_alpha
2023-03-23 23-27-27-946088,0,0,1530,1470,178.857,-12.926,0.45,1.51,-9.64,-8.98,2.51,155.11,29.90784000000005
2023-03-23 23-27-28-175309,0,0,1530,1470,178.857,-12.926,0.44,1.51,-9.64,-8.95,2.47,155.14,29.937840000000023
2023-03-23 23-27-28-393719,0,0,1530,1470,178.857,-12.926,0.43,1.51,-9.65,-8.95,2.38,155.17,29.967840000000024
2023-03-23 23-27-28-618082,0,0,1530,1470,178.857,-12.926,0.42,1.51,-9.65,-8.98,2.27,155.2,29.997840000000025
2023-03-23 23-27-28-842436,0,0,1530,1470,178.769,-12.926,0.38,1.52,-9.64,-9.0,2.2,155.18,29.977840000000043
2023-03-23 23-27-29-066008,0,0,1530,1470,178.769,-12.926,0.4,1.54,-9.65,-9.09,2.22,153.92,28.717840000000024
2023-03-23 23-27-29-290071,0,0,1530,1470,178.857,-12.926,0.48,1.58,-9.56,-9.22,2.59,151.85,26.64784000000003
2023-03-23 23-27-29-514033,0,0,1530,1470,178.857,-12.926,0.6,1.6,-9.62,-9.41,3.4,149.27,24.067840000000047
2023-03-23 23-27-29-738112,0,0,1530,1470,178.857,-12.838,0.74,1.59,-9.6,-9.57,4.18,146.75,21.547840000000036
2023-03-23 23-27-29-961972,0,0,1530,1470,178.769,-12.926,0.77,1.6,-9.61,-9.58,4.41,145.85,20.64784000000003
2023-03-23 23-27-30-186104,0,0,1530,1470,178.769,-12.838,0.78,1.61,-9.62,-9.51,4.53,145.18,19.977840000000043
2023-03-23 23-27-30-410050,0,0,1530,1470,178.857,-12.926,0.7,1.66,-9.59,-9.44,4.37,143.82,18.61784000000003
2023-03-23 23-27-30-634656,0,0,1530,1470,178.857,-12.926,0.63,1.65,-9.6,-9.64,3.8,140.73,15.527840000000026
2023-03-23 23-27-30-858546,0,0,1530,1470,178.857,-12.926,0.64,1.66,-9.61,-9.81,3.3,137.1,11.89784000000003
2023-03-23 23-27-31-082459,0,0,1530,1470,178.857,-12.926,0.63,1.69,-9.61,-9.94,3.38,134.41,9.207840000000033
2023-03-23 23-27-31-306718,0,0,1530,1470,178.857,-12.838,0.62,1.69,-9.6,-9.91,3.72,132.4,7.197840000000042
2023-03-23 23-27-31-530388,0,0,1530,1470,178.857,-12.926,0.62,1.66,-9.64,-9.74,3.5,130.91,5.707840000000033
2023-03-23 23-27-31-754376,0,0,1530,1470,178.769,-12.926,0.48,1.62,-9.63,-9.58,2.72,129.93,4.727840000000043
2023-03-23 23-27-31-977976,0,0,1530,1470,178.769,-12.926,-0.1,1.6,-9.65,-9.47,-0.83,129.97,4.767840000000035
2023-03-23 23-27-32-201945,0,0,1530,1470,178.769,-12.926,-0.42,1.58,-9.63,-9.42,-2.71,130.88,5.677840000000032
2023-03-23 23-27-32-426029,0,0,1530,1470,178.857,-12.926,-0.7,1.59,-9.61,-9.29,-4.09,131.79,6.587840000000028
2023-03-23 23-27-32-650376,0,0,1530,1470,178.769,-12.926,-0.81,1.55,-9.6,-9.07,-4.94,131.61,6.40784000000005
2023-03-23 23-27-32-875365,0,0,1530,1470,178.857,-12.926,-0.78,1.47,-9.61,-8.6,-4.77,130.22,5.017840000000035
2023-03-23 23-27-33-098059,0,0,1530,1470,178.857,-12.926,-0.46,1.32,-9.67,-7.82,-2.96,127.15,1.947840000000042
2023-03-23 23-27-33-322076,0,0,1530,1470,178.857,-12.926,-0.39,1.32,-9.67,-7.6,-2.46,126.31,1.1078400000000386
2023-03-23 23-27-33-545674,0,0,1530,1470,174.988,-9.233,-0.34,1.19,-9.69,-7.04,-2.0,125.12,-0.08215999999995915
2023-03-23 23-27-33-786118,0,0,1530,1470,45.198,121.172,-0.32,1.1,-9.7,-6.47,-1.69,124.63,-0.5721599999999682
2023-03-23 23-27-34-027052,0,0,1530,1470,0.0,165.931,-0.22,1.04,-9.68,-6.1,-1.49,123.96,-1.24215999999997
2023-03-23 23-27-34-266524,0,0,1530,1470,0.0,165.931,-0.16,0.99,-9.72,-5.85,-1.0,122.81,-2.3921599999999614
2023-03-23 23-27-34-506922,0,0,1530,1470,0.0,165.843,-0.08,0.96,-9.72,-5.71,-0.56,121.66,-3.542159999999967
2023-03-23 23-27-34-745932,0,0,1530,1470,0.088,165.931,-0.01,0.95,-9.72,-5.65,-0.21,120.96,-4.24215999999997
2023-03-23 23-27-34-987143,0,0,1530,1470,0.0,165.931,0.01,0.95,-9.73,-5.65,0.02,120.86,-4.342159999999964
2023-03-23 23-27-35-226157,0,0,1530,1470,0.0,165.931,-0.02,0.95,-9.73,-5.65,0.15,120.96,-4.24215999999997
2023-03-23 23-27-35-465510,0,0,1530,1470,0.0,165.843,-0.15,0.97,-9.5,-5.98,-1.03,119.51,-5.692159999999959
2023-03-23 23-27-35-705573,0,0,1530,1470,0.0,165.843,-0.71,0.93,-9.75,-6.03,-4.12,119.99,-5.212159999999969
2023-03-23 23-27-35-945636,0,0,1530,1470,0.088,165.843,-1.0,1.0,-9.64,-6.02,-5.89,122.77,-2.4321599999999677
2023-03-23 23-27-36-185671,0,0,1530,1470,103.41,62.96,-1.13,1.02,-9.63,-6.15,-6.61,125.76,0.5578400000000414
2023-03-23 23-27-36-409609,0,0,1530,1470,178.945,-12.926,-1.15,1.06,-9.65,-6.27,-6.77,128.46,3.2578400000000443
2023-03-23 23-27-36-633559,0,0,1530,1470,178.857,-12.926,-1.18,1.09,-9.65,-6.36,-6.89,129.6,4.397840000000031
2023-03-23 23-27-36-857645,0,0,1530,1470,178.857,-12.926,-1.1,1.1,-9.63,-6.48,-6.92,130.59,5.38784000000004
2023-03-23 23-27-37-082079,0,0,1530,1470,178.857,-12.926,-1.11,1.1,-9.64,-6.7,-6.63,132.74,7.537840000000045
2023-03-23 23-27-37-305723,0,0,1530,1470,178.857,-12.926,-1.07,1.16,-9.65,-6.87,-6.35,135.49,10.287840000000045
2023-03-23 23-27-37-529722,0,0,1530,1470,178.857,-12.926,-1.05,1.21,-9.66,-6.98,-6.21,138.51,13.307840000000027
2023-03-23 23-27-37-756907,0,0,1530,1470,178.857,-12.926,-1.04,1.19,-9.66,-7.05,-6.2,141.52,16.317840000000047
