Timestamp_log,left_angle,right_angle,left_thrust,right_thrust,read_left_angle,read_right_angle,accel_x,accel_y,accel_z,roll,pitch,yaw,e_alpha
2023-03-24 18-17-29-589895,0,0,1572,1572,178.593,-19.609,-0.63,0.27,-9.75,-1.59,-3.89,46.2,30.20779999999999
2023-03-24 18-17-29-718285,0,0,1565,1565,178.681,-19.609,-0.62,0.29,-9.73,-1.62,-3.89,46.24,30.24779999999999
2023-03-24 18-17-29-845608,0,0,1565,1565,178.681,-19.609,-0.64,0.27,-9.74,-1.66,-3.93,46.29,30.297799999999988
2023-03-24 18-17-29-973298,0,0,1564,1564,178.593,-19.609,-0.67,0.27,-9.69,-1.7,-3.97,46.04,30.047799999999988
2023-03-24 18-17-30-101675,0,0,1562,1562,178.681,-19.609,-0.62,0.2,-9.8,-1.63,-4.04,44.8,28.807799999999986
2023-03-24 18-17-30-229322,0,0,1559,1559,178.593,-19.609,-0.63,0.26,-9.75,-1.44,-4.06,42.89,26.89779999999999
2023-03-24 18-17-30-357290,0,0,1555,1555,178.681,-19.609,-0.67,0.24,-9.76,-1.2,-3.99,40.23,24.237799999999986
2023-03-24 18-17-30-485133,0,0,1550,1550,178.681,-19.609,-0.66,0.21,-9.76,-0.92,-3.81,37.51,21.517799999999987
2023-03-24 18-17-30-614178,0,0,1547,1547,178.681,-19.609,-0.58,0.15,-9.76,-0.64,-3.54,35.23,19.237799999999986
2023-03-24 18-17-30-740883,0,0,1545,1545,178.681,-19.609,-0.54,0.12,-9.75,-0.43,-3.22,33.73,17.737799999999986
2023-03-24 18-17-30-879670,0,0,1544,1544,178.593,-19.609,-0.49,0.07,-9.76,-0.28,-3.0,32.75,16.75779999999999
2023-03-24 18-17-31-006588,0,0,1543,1543,178.593,-19.609,-0.47,0.04,-9.72,-0.14,-2.97,31.8,15.80779999999999
2023-03-24 18-17-31-134802,0,0,1540,1540,178.593,-19.609,-0.49,-0.0,-9.73,0.02,-3.07,30.4,14.407799999999988
2023-03-24 18-17-31-263049,0,0,1538,1538,178.681,-19.609,-0.47,-0.02,-9.77,0.23,-3.12,28.76,12.76779999999999
2023-03-24 18-17-31-391055,0,0,1535,1535,178.681,-19.609,-0.49,-0.03,-9.76,0.45,-3.03,26.85,10.85779999999999
2023-03-24 18-17-31-509649,0,0,1550,1550,178.593,-19.609,-0.47,-0.07,-9.76,0.62,-2.85,25.26,9.26779999999999
2023-03-24 18-17-31-637137,0,0,1550,1550,178.593,-19.609,-0.47,-0.1,-9.69,0.74,-2.72,23.97,7.977799999999988
2023-03-24 18-17-31-764865,0,0,1550,1550,178.593,-19.609,-0.44,-0.11,-9.76,0.81,-2.69,23.15,7.1577999999999875
2023-03-24 18-17-31-892929,0,0,1550,1550,178.593,-19.609,-0.45,-0.12,-9.75,0.82,-2.81,22.82,6.827799999999989
2023-03-24 18-17-32-020941,0,0,1550,1550,178.681,-19.609,-0.49,-0.14,-9.77,0.81,-3.03,22.85,6.85779999999999
2023-03-24 18-17-32-149020,0,0,1550,1550,178.681,-19.609,-0.52,-0.13,-9.75,0.77,-3.27,22.9,6.9077999999999875
2023-03-24 18-17-32-276745,0,0,1550,1550,178.681,-19.609,-0.59,-0.1,-9.72,0.75,-3.53,22.37,6.37779999999999
2023-03-24 18-17-32-405481,0,0,1550,1550,178.593,-19.609,-0.57,-0.15,-9.77,0.77,-3.72,21.23,5.237799999999989
2023-03-24 18-17-32-534144,0,0,1550,1550,178.593,-19.609,-0.61,-0.12,-9.77,0.81,-3.73,20.04,4.047799999999988
2023-03-24 18-17-32-660639,0,0,1550,1550,178.593,-19.609,-0.63,-0.11,-9.76,0.84,-3.6,18.8,2.8077999999999896
2023-03-24 18-17-32-794325,0,0,1550,1550,178.593,-19.609,-0.57,-0.12,-9.73,0.89,-3.46,17.42,1.4277999999999906
2023-03-24 18-17-32-920917,0,0,1550,1550,178.681,-19.609,-0.52,-0.13,-9.74,0.96,-3.33,16.53,0.5377999999999901
2023-03-24 18-17-33-045061,0,0,1550,1550,178.593,-19.609,-0.54,-0.13,-9.75,0.95,-3.34,16.32,0.3277999999999892
2023-03-24 18-17-33-173876,0,0,1550,1550,178.681,-19.609,-0.54,-0.14,-9.74,0.9,-3.55,16.56,0.5677999999999876
2023-03-24 18-17-33-301021,0,0,1550,1550,178.593,-19.609,-0.66,-0.11,-9.74,0.81,-3.8,16.72,0.7277999999999878
2023-03-24 18-17-33-429048,0,0,1550,1550,178.593,-19.609,-0.69,-0.07,-9.77,0.78,-3.99,16.44,0.4477999999999902
2023-03-24 18-17-33-556894,0,0,1550,1550,178.593,-19.609,-0.64,-0.14,-9.79,0.76,-4.13,15.81,-0.18220000000001058
2023-03-24 18-17-33-759055,0,0,1550,1550,178.593,-19.609,-0.68,-0.12,-9.76,0.82,-4.08,14.66,-1.332200000000011
2023-03-24 18-17-33-965540,0,0,1550,1550,178.593,-19.609,-0.66,-0.13,-9.76,0.89,-3.85,13.6,-2.3922000000000114
2023-03-24 18-17-34-149176,0,0,1550,1550,178.593,-19.609,-0.52,-0.11,-9.75,0.95,-3.51,12.93,-3.0622000000000114
2023-03-24 18-17-34-324992,0,0,1550,1550,178.593,-19.609,-0.48,-0.13,-9.75,0.96,-3.13,12.82,-3.172200000000011
2023-03-24 18-17-34-521393,0,0,1550,1550,178.593,-19.609,-0.42,-0.11,-9.74,0.89,-2.93,13.24,-2.752200000000011
