Timestamp_log,left_angle,right_angle,left_thrust,right_thrust,read_left_angle,read_right_angle,accel_x,accel_y,accel_z,roll,pitch,yaw,e_alpha
2023-03-24 23-34-08-171210,0,0,1552,1552,0.264,159.687,1.43,0.97,-9.61,-5.83,8.21,15.36,29.982600000000005
2023-03-24 23-34-08-305636,0,0,1555,1555,0.264,159.775,1.43,0.97,-9.62,-5.83,8.19,15.36,29.982600000000005
2023-03-24 23-34-08-431919,0,0,1555,1555,0.264,159.775,1.43,0.97,-9.61,-5.83,8.21,15.36,29.982600000000005
2023-03-24 23-34-08-564051,0,0,1555,1555,0.264,159.775,1.37,0.98,-9.6,-5.75,8.21,15.53,29.812600000000003
2023-03-24 23-34-08-687934,0,0,1554,1554,0.352,159.775,1.47,0.92,-9.62,-5.51,8.19,16.36,28.982600000000005
2023-03-24 23-34-08-815494,0,0,1552,1552,0.264,159.775,1.43,0.84,-9.63,-5.07,8.11,17.95,27.392600000000005
2023-03-24 23-34-08-944261,0,0,1550,1550,0.264,159.775,1.4,0.76,-9.66,-4.56,7.92,19.93,25.412600000000005
2023-03-24 23-34-09-073424,0,0,1547,1547,0.264,159.775,1.38,0.62,-9.62,-3.98,7.75,22.25,23.092600000000004
2023-03-24 23-34-09-200195,0,0,1544,1544,0.264,159.775,1.43,0.56,-9.69,-3.4,7.62,24.75,20.592600000000004
2023-03-24 23-34-09-334262,0,0,1542,1542,0.264,159.775,1.29,0.48,-9.67,-2.97,7.43,26.63,18.712600000000005
2023-03-24 23-34-09-456914,0,0,1540,1540,0.264,159.687,1.25,0.45,-9.67,-2.66,7.19,27.95,17.392600000000005
2023-03-24 23-34-09-584048,0,0,1539,1539,0.264,159.775,1.25,0.39,-9.71,-2.44,6.95,28.87,16.472600000000003
2023-03-24 23-34-09-712043,0,0,1538,1538,0.264,159.775,1.13,0.37,-9.65,-2.22,6.77,29.66,15.682600000000004
2023-03-24 23-34-09-846609,0,0,1537,1537,0.264,159.775,1.19,0.29,-9.69,-1.89,6.71,30.84,14.502600000000005
2023-03-24 23-34-09-967624,0,0,1535,1535,0.264,159.775,1.2,0.24,-9.69,-1.53,6.8,32.21,13.132600000000004
2023-03-24 23-34-10-095634,0,0,1533,1533,0.264,159.775,1.22,0.16,-9.69,-1.16,6.92,33.6,11.742600000000003
2023-03-24 23-34-10-230026,0,0,1532,1532,0.264,159.775,1.21,0.11,-9.68,-0.78,7.0,34.91,10.432600000000008
2023-03-24 23-34-10-354410,0,0,1540,1540,0.264,159.775,1.23,0.04,-9.69,-0.42,7.01,36.0,9.342600000000004
2023-03-24 23-34-10-480231,0,0,1540,1540,0.264,159.775,1.24,0.01,-9.69,-0.15,6.97,36.77,8.572600000000001
2023-03-24 23-34-10-616508,0,0,1540,1540,0.264,159.775,1.17,-0.06,-9.68,0.09,6.9,37.26,8.082600000000006
2023-03-24 23-34-10-738473,0,0,1540,1540,0.264,159.687,1.12,-0.07,-9.68,0.29,6.77,37.45,7.892600000000002
2023-03-24 23-34-10-863986,0,0,1540,1540,0.352,159.775,1.1,-0.11,-9.7,0.52,6.63,37.59,7.752600000000001
2023-03-24 23-34-10-994665,0,0,1540,1540,0.264,159.775,1.1,-0.16,-9.69,0.76,6.49,37.65,7.692600000000006
2023-03-24 23-34-11-119390,0,0,1540,1540,0.264,159.775,1.01,-0.21,-9.7,0.98,6.35,37.57,7.772600000000004
2023-03-24 23-34-11-247099,0,0,1540,1540,0.264,159.687,1.06,-0.25,-9.68,1.17,6.2,37.15,8.192600000000006
2023-03-24 23-34-11-375682,0,0,1540,1540,0.264,159.775,1.0,-0.27,-9.68,1.35,6.01,36.6,8.742600000000003
2023-03-24 23-34-11-503575,0,0,1540,1540,0.264,159.775,1.01,-0.3,-9.71,1.51,5.74,35.88,9.462600000000002
2023-03-24 23-34-11-634150,0,0,1532,1532,0.264,159.775,0.95,-0.3,-9.69,1.56,5.41,34.79,10.552600000000005
2023-03-24 23-34-11-780316,0,0,1534,1534,0.264,159.775,0.89,-0.3,-9.71,1.54,5.01,33.42,11.922600000000003
2023-03-24 23-34-11-934055,0,0,1536,1536,0.352,159.775,0.83,-0.26,-9.71,1.46,4.58,31.8,13.542600000000004
2023-03-24 23-34-12-064941,0,0,1538,1538,0.264,159.775,0.73,-0.29,-9.7,1.45,4.14,30.43,14.912600000000005
2023-03-24 23-34-12-192319,0,0,1539,1539,0.264,159.775,0.61,-0.28,-9.72,1.47,3.71,29.51,15.832600000000003
2023-03-24 23-34-12-319981,0,0,1540,1540,0.264,159.775,0.57,-0.27,-9.72,1.47,3.28,28.78,16.562600000000003
2023-03-24 23-34-12-447189,0,0,1540,1540,0.264,159.687,0.54,-0.26,-9.73,1.47,2.8,28.29,17.052600000000005
2023-03-24 23-34-12-577233,0,0,1540,1540,0.264,159.775,0.5,-0.27,-9.75,1.48,2.32,28.0,17.342600000000004
2023-03-24 23-34-12-713751,0,0,1540,1540,0.264,159.775,0.46,-0.27,-9.77,1.48,1.87,27.92,17.422600000000003
2023-03-24 23-34-12-847961,0,0,1541,1541,0.352,159.687,0.29,-0.29,-9.77,1.45,1.49,27.85,17.492600000000003
2023-03-24 23-34-12-975763,0,0,1541,1541,0.264,159.775,0.29,-0.27,-9.75,1.4,1.21,27.61,17.732600000000005
2023-03-24 23-34-13-104796,0,0,1541,1541,0.264,159.775,0.18,-0.24,-9.76,1.32,1.04,27.19,18.152600000000003
2023-03-24 23-34-13-248697,0,0,1542,1542,0.264,159.775,0.17,-0.24,-9.77,1.29,0.93,26.99,18.352600000000006
2023-03-24 23-34-13-375530,0,0,1542,1542,0.264,159.775,0.15,-0.25,-9.75,1.27,0.92,26.99,18.352600000000006
2023-03-24 23-34-13-506831,0,0,1541,1541,0.352,159.775,0.15,-0.24,-9.77,1.29,0.94,27.01,18.332600000000003
2023-03-24 23-34-13-632470,0,0,1542,1542,0.352,159.775,0.17,-0.26,-9.75,1.32,0.96,26.89,18.452600000000004
2023-03-24 23-34-13-763631,0,0,1542,1542,0.352,159.687,0.03,-0.26,-9.77,1.37,0.89,26.68,18.662600000000005
2023-03-24 23-34-13-887881,0,0,1543,1543,0.264,159.775,0.14,-0.26,-9.76,1.39,0.7,26.17,19.172600000000003
2023-03-24 23-34-14-016630,0,0,1540,1540,0.264,159.775,0.11,-0.26,-9.75,1.35,0.39,25.1,20.242600000000003
2023-03-24 23-34-14-149936,0,0,1540,1540,0.264,159.775,0.02,-0.24,-9.76,1.29,0.0,23.7,21.642600000000005
2023-03-24 23-34-14-271404,0,0,1540,1540,0.264,159.775,-0.08,-0.24,-9.74,1.21,-0.4,22.05,23.292600000000004
2023-03-24 23-34-14-399833,0,0,1540,1540,0.264,159.775,-0.2,-0.18,-9.75,1.13,-0.78,20.37,24.972600000000003
2023-03-24 23-34-14-534513,0,0,1540,1540,0.264,159.775,-0.17,-0.2,-9.76,1.06,-1.14,18.95,26.392600000000005
2023-03-24 23-34-14-657899,0,0,1540,1540,0.264,159.775,-0.2,-0.18,-9.78,1.01,-1.5,17.66,27.682600000000004
2023-03-24 23-34-14-783532,0,0,1540,1540,0.264,159.775,-0.32,-0.18,-9.74,0.97,-1.9,16.6,28.742600000000003
