Timestamp_log,left_angle,right_angle,left_thrust,right_thrust,read_left_angle,read_right_angle,accel_x,accel_y,accel_z,roll,pitch,yaw,error
2023-04-21 02-48-38-114565,0,160,1555,1445,-0.264,160.039,-0.09,-0.03,-9.78,0.08,-0.69,-156.57,36.56999999999999
2023-04-21 02-48-38-187146,0,160,1555,1445,-0.264,160.039,-0.09,-0.03,-9.78,0.09,-0.69,-156.57,36.56999999999999
2023-04-21 02-48-38-261908,0,160,1555,1445,-0.264,160.039,-0.09,-0.03,-9.78,0.09,-0.69,-156.57,36.56999999999999
2023-04-21 02-48-38-337038,0,160,1555,1445,-0.264,160.039,-0.08,-0.06,-9.78,0.1,-0.69,-156.57,36.56999999999999
2023-04-21 02-48-38-413510,0,160,1555,1445,-0.264,160.039,-0.34,-0.08,-9.74,0.09,-0.68,-156.49,36.49000000000001
2023-04-21 02-48-38-488721,0,160,1555,1445,-0.264,160.039,-0.21,-0.06,-9.75,0.07,-0.65,-156.19,36.19
2023-04-21 02-48-38-564115,0,160,1555,1445,-0.264,160.039,-0.24,0.01,-9.76,0.06,-0.6,-155.83,35.83000000000001
2023-04-21 02-48-38-642068,0,160,1555,1445,-0.352,160.039,-0.17,-0.01,-9.75,0.05,-0.53,-155.32,35.31999999999999
2023-04-21 02-48-38-720863,0,160,1555,1445,-0.264,160.039,-0.13,-0.06,-9.77,0.05,-0.43,-154.69,34.69
2023-04-21 02-48-38-797477,0,160,1555,1445,-0.264,160.039,-0.11,-0.08,-9.79,0.04,-0.35,-153.96,33.96000000000001
2023-04-21 02-48-38-874021,0,160,1555,1445,-0.264,160.039,-0.09,-0.04,-9.8,0.02,-0.31,-153.26,33.25999999999999
2023-04-21 02-48-38-957525,0,160,1555,1445,-0.264,160.039,-0.05,-0.05,-9.78,0.02,-0.32,-152.43,32.43000000000001
2023-04-21 02-48-39-025999,0,160,1555,1445,-0.264,160.039,-0.06,-0.04,-9.79,0.01,-0.36,-151.55,31.55000000000001
