Timestamp_log,left_angle,right_angle,left_thrust,right_thrust,read_left_angle,read_right_angle,accel_x,accel_y,accel_z,roll,pitch,yaw,error
2023-04-21 02-50-56-301400,0,160,1560,1440,-0.264,160.039,-0.08,-0.06,-9.78,0.23,-0.69,-156.36,36.360000000000014
2023-04-21 02-50-56-381299,0,160,1560,1440,-0.264,160.039,-0.09,-0.06,-9.78,0.23,-0.69,-156.36,36.360000000000014
2023-04-21 02-50-56-461595,0,160,1560,1440,-0.264,160.039,-0.09,-0.07,-9.79,0.23,-0.7,-156.35,36.349999999999994
2023-04-21 02-50-56-540977,0,160,1560,1440,-0.264,160.039,-0.09,0.02,-9.77,0.23,-0.71,-156.35,36.349999999999994
2023-04-21 02-50-56-621149,0,160,1560,1440,-0.264,160.039,-0.63,0.26,-9.74,0.2,-0.71,-156.16,36.16
2023-04-21 02-50-56-701416,0,160,1560,1440,-0.264,160.039,-0.38,0.06,-9.74,0.21,-0.7,-155.82,35.81999999999999
2023-04-21 02-50-56-779895,0,160,1560,1440,-0.264,160.039,-0.29,-0.15,-9.79,0.23,-0.69,-155.25,35.25
2023-04-21 02-50-56-848443,0,160,1560,1440,-0.264,160.039,-0.26,-0.11,-9.74,0.24,-0.65,-154.59,34.59
2023-04-21 02-50-56-935732,0,160,1560,1440,-0.264,160.039,-0.21,-0.14,-9.83,0.27,-0.59,-153.69,33.69
2023-04-21 02-50-57-005758,0,160,1560,1440,-0.264,160.039,-0.16,-0.17,-9.79,0.29,-0.54,-152.67,32.66999999999999
2023-04-21 02-50-57-081913,0,160,1560,1440,-0.264,159.951,-0.11,-0.12,-9.8,0.3,-0.53,-151.56,31.560000000000002
2023-04-21 02-50-57-161927,0,160,1560,1440,-0.264,160.039,-0.07,-0.12,-9.85,0.3,-0.55,-150.54,30.539999999999992
2023-04-21 02-50-57-240594,0,160,1560,1440,-0.264,160.039,-0.1,-0.14,-9.81,0.3,-0.62,-149.37,29.370000000000005
2023-04-21 02-50-57-319946,0,160,1560,1440,-0.264,160.039,-0.07,-0.09,-9.8,0.28,-0.72,-148.18,28.180000000000007
