Timestamp_log,left_angle,right_angle,left_thrust,right_thrust,read_left_angle,read_right_angle,accel_x,accel_y,accel_z,roll,pitch,yaw,error
2023-05-05 12-09-06-344910,0,160,1550,1440,-89.868,-110.005,0.25,-0.35,-9.77,1.91,1.22,178.33,26.91
2023-05-05 12-09-06-706934,0,160,1550,1440,-89.868,-110.005,0.25,-0.32,-9.79,1.9,1.23,178.36,26.9
2023-05-05 12-09-07-057339,0,160,1550,1440,-89.868,-110.005,0.42,-0.1,-9.82,0.28,2.24,178.0,25.28
2023-05-05 12-09-07-396571,0,160,1550,1440,-89.78,-110.005,0.91,0.45,-9.76,-3.16,5.23,176.6,21.84
2023-05-05 12-09-07-745207,0,160,1550,1445.0,-89.868,-110.005,1.48,1.21,-9.61,-7.52,8.64,174.45,17.48
2023-05-05 12-09-08-097122,0,160,1548,1452.0,-89.868,-110.005,1.89,1.95,-9.32,-11.94,11.16,172.1,13.06
2023-05-05 12-09-08-435984,0,160,1543,1457.0,-89.868,-110.005,2.19,2.53,-9.11,-15.53,12.79,170.04,9.47
2023-05-05 12-09-08-794115,0,160,1540,1460.0,-89.868,-110.005,2.48,2.93,-8.82,-17.98,14.76,168.04,7.02
2023-05-05 12-09-09-157215,0,160,1539,1461.0,-89.868,-110.005,2.94,2.95,-8.79,-18.56,17.27,166.39,6.440000000000001
2023-05-05 12-09-09-532468,0,160,1542,1458.0,-89.78,-110.005,3.19,2.71,-8.71,-17.14,19.01,165.96,7.859999999999999
2023-05-05 12-09-09-890280,0,160,1546,1454.0,-89.78,-110.005,3.58,2.2,-8.84,-14.29,21.32,166.41,10.71
2023-05-05 12-09-10-251388,0,160,1550,1449.0,-89.868,-110.005,3.84,1.73,-8.94,-11.32,22.79,168.07,13.68
2023-05-05 12-09-10-609707,0,160,1550,1447.0,-89.78,-110.005,3.77,1.46,-9.01,-9.44,22.1,170.4,15.56
2023-05-05 12-09-10-960549,0,160,1550,1448.0,-89.868,-110.005,3.65,1.53,-8.92,-9.71,21.64,171.58,15.29
2023-05-05 12-09-11-309811,0,160,1550,1450.0,-89.868,-110.005,3.78,1.72,-8.83,-11.29,22.51,171.69,13.71
2023-05-05 12-09-11-668136,0,160,1546,1454.0,-89.78,-110.005,4.12,2.03,-8.62,-13.5,24.73,170.97,11.5
2023-05-05 12-09-12-008051,0,160,1543,1457.0,-89.868,-110.005,4.38,2.28,-8.32,-15.61,26.55,170.27,9.39
2023-05-05 12-09-12-370843,0,160,1541,1459.0,-89.78,-110.005,4.81,2.43,-8.07,-17.07,29.43,169.3,7.93
2023-05-05 12-09-12-716254,0,160,1541,1459.0,-89.868,-110.005,5.27,2.39,-7.87,-17.22,32.41,168.76,7.780000000000001
2023-05-05 12-09-13-070130,0,160,1542,1458.0,-89.78,-110.005,5.28,2.32,-7.75,-16.77,32.7,168.96,8.23
