Timestamp_log,left_angle,right_angle,left_thrust,right_thrust,read_left_angle,read_right_angle,accel_x,accel_y,accel_z,roll,pitch,yaw,error
2023-05-05 12-48-47-156836,0,160,1562,1436,-89.78,-110.093,0.02,-0.29,-9.78,1.56,-0.07,177.08,31.56
2023-05-05 12-48-47-338397,0,160,1562,1436,-89.868,-110.093,0.02,-0.29,-9.78,1.55,-0.08,177.08,31.55
2023-05-05 12-48-47-515160,0,160,1562,1436,-89.868,-110.093,0.06,-0.31,-10.14,1.55,-0.17,177.07,31.55
2023-05-05 12-48-47-703072,0,160,1562,1436,-89.868,-110.093,0.01,-0.18,-9.97,0.68,-0.43,176.93,30.68
2023-05-05 12-48-47-878373,0,160,1562,1436,-89.868,-110.093,-0.04,0.17,-9.89,-1.13,-0.46,176.41,28.87
2023-05-05 12-48-48-063714,0,160,1562,1436,-89.868,-110.093,-0.07,0.57,-9.82,-3.55,-0.65,175.56,26.45
2023-05-05 12-48-48-248651,0,160,1562,1436,-89.868,-110.093,-0.11,1.05,-9.75,-6.52,-0.79,174.27,23.48
2023-05-05 12-48-48-426255,0,160,1560,1440.0,-89.78,-110.093,-0.07,1.54,-9.69,-9.36,-0.57,172.75,20.64
2023-05-05 12-48-48-606895,0,160,1555,1445.0,-89.868,-110.093,0.03,2.12,-9.6,-12.68,-0.13,170.71,17.32
2023-05-05 12-48-48-789822,0,160,1550,1450.0,-89.868,-110.093,-0.0,2.62,-9.42,-15.83,-0.32,168.66,14.17
2023-05-05 12-48-48-970718,0,160,1546,1454.0,-89.868,-110.093,-0.28,3.15,-9.16,-18.52,-2.28,167.29,11.48
2023-05-05 12-48-49-148528,0,160,1543,1457.0,-89.78,-110.093,-0.94,3.41,-8.99,-20.57,-5.32,166.34,9.43
2023-05-05 12-48-49-322686,0,160,1541,1459.0,-89.78,-110.093,-1.22,3.66,-8.87,-22.06,-7.51,165.11,7.940000000000001
2023-05-05 12-48-49-508104,0,160,1540,1460.0,-89.868,-110.093,-1.5,3.74,-8.77,-23.09,-9.16,163.28,6.91
2023-05-05 12-48-49-681301,0,160,1539,1461.0,-89.78,-110.093,-1.7,3.81,-8.71,-23.4,-10.3,161.37,6.600000000000001
2023-05-05 12-48-49-867230,0,160,1540,1460.0,-89.868,-110.093,-1.83,3.78,-8.74,-23.18,-11.38,159.15,6.82
2023-05-05 12-48-50-047967,0,160,1541,1459.0,-89.868,-110.093,-2.96,3.41,-8.75,-22.31,-12.52,156.58,7.690000000000001
2023-05-05 12-48-50-227614,0,160,1543,1457.0,-89.868,-110.093,-1.98,3.55,-8.85,-21.41,-12.57,154.88,8.59
2023-05-05 12-48-50-412737,0,160,1544,1456.0,-89.78,-110.093,-2.03,3.32,-8.91,-20.33,-12.58,153.15,9.670000000000002
2023-05-05 12-48-50-585926,0,160,1546,1454.0,-89.868,-110.093,-2.05,3.09,-9.01,-19.16,-12.07,151.54,10.84
2023-05-05 12-48-50-756461,0,160,1548,1452.0,-89.78,-110.093,-1.8,2.92,-9.13,-17.86,-10.92,150.05,12.14
2023-05-05 12-48-50-936842,0,160,1550,1450.0,-89.868,-110.093,-1.58,2.74,-9.29,-16.58,-9.68,148.81,13.420000000000002
2023-05-05 12-48-51-107342,0,160,1551,1449.0,-89.868,-110.093,-1.37,2.56,-9.32,-15.52,-8.51,147.89,14.48
2023-05-05 12-48-51-294418,0,160,1553,1447.0,-89.78,-110.093,-1.22,2.41,-9.51,-14.49,-7.48,147.21,15.51
2023-05-05 12-48-51-466791,0,160,1554,1446.0,-89.868,-110.093,-1.1,2.29,-9.53,-13.79,-6.75,146.75,16.21
